function	genus	pre_HPM	drought_HPM	delta	log2FC	cliffs_delta	p	mixed_p	q_BH	mixed_q_BH
CAZy:GT	NA	2286.7788	2337.2622	50.4834	0.0315	-0.0391	0.836	0.7851	0.8759	0.8507
CAZy:GT	Pararhodospirillum	199.609	317.9803	118.3712	0.6718	0.3783	0.0352	0.0192	0.0878	0.0668
CAZy:GT	Nitrospira	109.0824	198.4128	89.3305	0.8631	0.4522	0.0117	0.0039	0.0422	0.0227
CAZy:GT	Fusarium	13.351	166.7157	153.3648	3.6423	0.7261	0.0001	0.0176	0.0025	0.0634
CAZy:GT	Desulfobacterium	96.8347	128.4644	31.6296	0.4078	0.2696	0.1343	0.1171	0.2233	0.2255
CAZy:GT	Ruminiclostridium	77.8955	126.8802	48.9847	0.7038	0.4174	0.0201	0.0197	0.0599	0.068
CAZy:GT	Curvibacter	135.7483	118.8962	-16.8521	-0.1912	-0.1304	0.4726	0.4964	0.5713	0.6185
CAZy:GT	Trithuria	70.8442	106.0011	35.1569	0.5814	0.2913	0.1054	0.0398	0.1861	0.1083
CAZy:GT	Rhodococcus	10.1423	90.1684	80.0261	3.1521	0.8217	0.0	0.0001	0.0011	0.0021
CAZy:GT	Lactiplantibacillus	63.6117	82.464	18.8523	0.3745	0.2391	0.1845	0.1823	0.2817	0.3057
CAZy:GT	Cupriavidus	45.7155	76.5922	30.8767	0.7445	0.3087	0.086	0.0115	0.1616	0.0471
CAZy:GT	Clostridium	53.413	67.1356	13.7225	0.3299	0.1478	0.4147	0.3282	0.5168	0.4611
CAZy:GT	Nocardia	4.724	63.7416	59.0177	3.7539	0.9435	0.0	0.0003	0.0007	0.0036
CAZy:GT	Streptomyces	7.8905	63.0467	55.1561	2.9981	0.8783	0.0	0.0003	0.0007	0.0034
CAZy:GT	Leptolyngbya	32.4124	57.121	24.7086	0.8175	0.3739	0.0374	0.0253	0.0915	0.0803
CAZy:GT	Selenomonas	44.5488	54.2938	9.745	0.2854	0.1478	0.4147	0.321	0.5168	0.4551
CAZy:GT	Bifidobacterium	23.7903	50.4102	26.6199	1.0833	0.4783	0.0077	0.0002	0.0322	0.003
CAZy:GT	Escherichia	39.0991	47.3727	8.2736	0.2769	0.0087	0.9709	0.5925	0.9798	0.7002
CAZy:GT	Chlorobaculum	3.2101	43.6801	40.4699	3.7659	0.1739	0.334	0.3723	0.4384	0.5042
CAZy:GT	Nocardioides	4.9788	40.5157	35.5369	3.0244	0.9087	0.0	0.0	0.0007	0.0001
CAZy:GT	Commensalibacter	18.5585	37.2923	18.7339	1.0068	0.1826	0.3123	0.2283	0.4153	0.3604
CAZy:GT	Corynebacterium	7.2299	32.4164	25.1865	2.1645	0.7609	0.0	0.0001	0.0018	0.0014
CAZy:GT	Pseudomonas	44.9976	29.3443	-15.6533	-0.6168	-0.4087	0.0228	0.6492	0.0648	0.7446
CAZy:GT	Claviceps	3.6279	25.1607	21.5328	2.7936	0.7391	0.0	0.0076	0.0023	0.0351
CAZy:GT	Vogesella	8.6875	22.16	13.4725	1.3508	-0.313	0.0817	0.3923	0.1563	0.5236
CAZy:GT	Collinsella	8.0931	21.2132	13.1201	1.3901	0.6043	0.0007	0.0002	0.0082	0.0027
CAZy:GT	Phascolarctobacterium	9.8846	19.3392	9.4547	0.9682	0.4435	0.0135	0.0076	0.0458	0.0352
CAZy:GT	Heliomicrobium	10.459	16.9386	6.4796	0.6955	0.3	0.0953	0.0727	0.1735	0.1636
CAZy:GT	Rhizobium	8.9937	14.7551	5.7613	0.7142	0.4174	0.0201		0.0599	1.0
CAZy:GT	Azospirillum	10.4069	13.9166	3.5097	0.4192	0.2348	0.1927	0.0908	0.2901	0.1891
CAZy:GT	Candidatus Entotheonella	8.1649	13.0475	4.8826	0.6762	0.3304	0.066	0.0012	0.1348	0.0103
CAZy:GT	Sulfurihydrogenibium	5.9288	11.779	5.8501	0.9903	0.3696	0.0396	0.1228	0.0954	0.2335
CAZy:GT	Meringosphaera	6.2472	10.2567	4.0095	0.7152	0.3609	0.0446	0.0579	0.1032	0.14
CAZy:GT	Leptotrichia	7.2161	9.865	2.6489	0.451	0.2957	0.1003	0.1534	0.18	0.2723
CAZy:GT	Lawsonia	6.0553	8.4145	2.3592	0.4746	0.2913	0.1054	0.1721	0.1861	0.2947
CAZy:GT	Sphingomonas	7.8011	8.3026	0.5015	0.0899	-0.1348	0.4577	0.4445	0.5576	0.5727
CAZy:GT	Staphylococcus	5.5285	8.2208	2.6923	0.5723	0.287	0.1107	0.0955	0.1936	0.1962
CAZy:GT	Peribacillus	0.7062	7.9315	7.2253	3.4876	0.2391	0.1845	0.0101	0.2817	0.0431
CAZy:GT	Piscinibacter	9.9167	7.6686	-2.2481	-0.3708	-0.3391	0.0592	0.1556	0.1256	0.2754
CAZy:GT	Agromyces	1.4958	6.862	5.3662	2.1969	0.4522	0.0117	0.0048	0.0422	0.0259
CAZy:GT	Bradyrhizobium	7.071	6.6665	-0.4044	-0.085	-0.2217	0.2188	0.794	0.3178	0.8576
CAZy:GT	Nitrosopumilus	3.7271	6.5726	2.8455	0.8183	0.3696	0.0396	0.0429	0.0954	0.1139
CAZy:GT	Plectosphaerella	0.8301	6.1942	5.3641	2.898	0.7304	0.0	0.0106	0.0024	0.0445
CAZy:GT	Ralstonia	5.3082	5.9378	0.6296	0.1617	0.0348	0.8551	0.5641	0.8901	0.676
CAZy:GT	Mycobacterium	5.0702	5.9201	0.8499	0.2235	0.2391	0.1845	0.64	0.2817	0.7378
CAZy:GT	Mesorhizobium	7.3504	5.4942	-1.8563	-0.4199	-0.2696	0.1343	0.1499	0.2233	0.2681
CAZy:GT	Bacillus	2.2214	5.4592	3.2378	1.2968	0.4435	0.0135	0.002	0.0458	0.0147
CAZy:GT	Magnetospirillum	2.8241	5.4396	2.6155	0.9455	0.3957	0.0276	0.0048	0.0742	0.0259
CAZy:GT	Achromobacter	7.643	5.2034	-2.4396	-0.5546	-0.2609	0.1474	0.5592	0.2394	0.6718
CAZy:GT	Solirubrobacter	1.377	4.7283	3.3513	1.779	0.8348	0.0	0.0	0.0008	0.0002
CAZy:GT	Agrobacterium	4.3988	4.6861	0.2873	0.0913	-0.2174	0.2281	0.2097	0.328	0.3379
CAZy:GT	Mycolicibacterium	3.7652	4.6592	0.894	0.3073	0.3652	0.042	0.7382	0.0992	0.8151
CAZy:GT	Nostoc	5.7908	4.6591	-1.1317	-0.3137	-0.2348	0.1927	0.1136	0.2901	0.221
CAZy:GT	Microbacterium	2.9549	4.6512	1.6963	0.6543	0.2957	0.1003	0.0624	0.18	0.1467
CAZy:GT	Niveomyces	0.5932	4.5947	4.0016	2.9513	0.7609	0.0	0.0059	0.0018	0.0293
CAZy:GT	Luteitalea	5.0965	4.5916	-0.505	-0.1505	-0.4435	0.0135	0.7762	0.0458	0.8441
CAZy:GT	Penicillium	0.3955	4.4983	4.1028	3.5045	0.5652	0.0016	0.0898	0.0127	0.1882
CAZy:GT	Rhizophagus	1.1374	4.425	3.2876	1.959	0.7043	0.0001	0.0042	0.0028	0.0238
CAZy:GT	Bacteroides	2.6934	4.2932	1.5998	0.6724	0.3696	0.0396	0.01	0.0954	0.043
CAZy:GT	Quaeritorhiza	3.0043	4.0416	1.0373	0.4278	0.2348	0.1927	0.1763	0.2901	0.2991
CAZy:GT	Gaiella	2.0438	3.972	1.9282	0.9583	0.587	0.0011	0.0	0.01	0.0007
CAZy:GT	Acidobacterium	6.1623	3.7283	-2.434	-0.7248	-0.587	0.0011	0.049	0.01	0.1243
CAZy:GT	Candidatus Phytoplasma	3.4254	3.6974	0.272	0.1102	0.0957	0.6006	0.7704	0.6828	0.8398
CAZy:GT	Mycoavidus	2.515	3.6553	1.1403	0.5393	0.187	0.3007	0.1362	0.4036	0.2505
CAZy:GT	Trichoderma	0.1747	3.6091	3.4344	4.3608	0.7304	0.0	0.0431	0.0024	0.1142
CAZy:GT	Enterobacter	5.1527	3.5793	-1.5734	-0.5255	-0.3	0.0953	0.4239	0.1735	0.5532
CAZy:GT	Chlamydia	1.4515	3.5069	2.0553	1.272	0.587	0.0011	0.0002	0.01	0.0028
CAZy:GT	Variovorax	9.6436	3.4917	-6.1519	-1.4654	-0.587	0.0011	0.0035	0.01	0.0212
CAZy:GT	Reyranella	4.8635	3.2937	-1.5699	-0.5622	-0.3652	0.042	0.065	0.0992	0.1513
CAZy:GT	Ramlibacter	6.6796	3.0642	-3.6154	-1.124	-0.6652	0.0002	0.0	0.0044	0.0006
CAZy:GT	Paenibacillus	3.6146	3.053	-0.5616	-0.2435	-0.2609	0.1474	0.416	0.2394	0.5458
CAZy:GT	Affinundibacterium	1.2244	2.9216	1.6972	1.254	0.0217	0.9127	0.2558	0.9351	0.3899
CAZy:GT	Ktedonobacter	1.4773	2.9148	1.4374	0.9799	0.3565	0.0472	0.0001	0.1078	0.0022
CAZy:GT	Thauera	10.6087	2.9032	-7.7055	-1.8692	-0.4696	0.0089	0.0014	0.0355	0.0114
CAZy:GT	Klebsiella	2.7177	2.8978	0.1801	0.0925	-0.0348	0.8551	0.6847	0.8901	0.7737
CAZy:GT	Ilumatobacter	1.8142	2.8139	0.9997	0.633	0.3522	0.05	0.0592	0.1116	0.1419
CAZy:GT	Arthrobacter	0.5025	2.7001	2.1976	2.4235	0.3174	0.0775	0.0719	0.1506	0.1623
CAZy:GT	Phenylobacterium	4.8625	2.666	-2.1965	-0.8668	-0.5435	0.0024	0.0025	0.016	0.0169
CAZy:GT	Paraburkholderia	2.4589	2.5873	0.1284	0.0734	-0.0783	0.67	0.7764	0.7411	0.8441
CAZy:GT	Xanthomonas	2.4357	2.5332	0.0974	0.0566	-0.0826	0.6524	0.7665	0.7269	0.8371
CAZy:GT	Micromonospora	1.7239	2.4244	0.7005	0.4917	0.2348	0.1927	0.0206	0.2901	0.0702
CAZy:GT	Burkholderia	3.1882	2.4195	-0.7687	-0.3979	-0.413	0.0214	0.0493	0.0624	0.1248
CAZy:GT	Acinetobacter	2.1537	2.3944	0.2407	0.1528	0.0435	0.8171	0.6226	0.8627	0.7239
CAZy:GT	Sporichthya	0.5985	2.364	1.7655	1.98	0.7826	0.0	0.0	0.0016	0.001
CAZy:GT	Persephonella	1.0393	2.3038	1.2645	1.1477	0.5826	0.0012	0.0014	0.0105	0.0113
CAZy:GT	Pedosphaera	3.1686	2.2879	-0.8807	-0.4696	-0.4435	0.0135	0.1004	0.0458	0.2031
CAZy:GT	Flavobacterium	9.9993	2.2401	-7.7592	-2.1578	-0.7783	0.0	0.0	0.0016	0.0001
CAZy:GT	Gluconobacter	1.8775	2.2118	0.3343	0.2363	0.1	0.5838	0.91	0.6681	0.9431
CAZy:GT	Marinobacter	1.4275	2.1551	0.7276	0.5939	0.3174	0.0775	0.0067	0.1506	0.0322
CAZy:GT	Tautonia	2.089	2.1094	0.0204	0.014	-0.2174	0.2281	0.8583	0.328	0.9079
CAZy:GT	Pseudonocardia	1.1057	2.027	0.9214	0.8739	0.5	0.0053	0.0037	0.0251	0.022
CAZy:GT	Streptococcus	0.5939	1.9932	1.3993	1.7452	0.4609	0.0102	0.0905	0.0386	0.1888
CAZy:GT	Gemmata	1.9425	1.9392	-0.0032	-0.0024	-0.1522	0.4009	0.9764	0.5042	0.9883
CAZy:GT	Pirellula	2.3228	1.9366	-0.3862	-0.2622	-0.2217	0.2188	0.33	0.3178	0.4626
CAZy:GT	Aspergillus	0.8055	1.8819	1.0765	1.2233	0.4652	0.0095	0.0016	0.0371	0.0122
CAZy:GT	Anaeromyxobacter	2.9081	1.8488	-1.0593	-0.6532	-0.4739	0.0082	0.0468	0.034	0.1205
CAZy:GT	Aquisphaera	1.5501	1.7921	0.242	0.2091	-0.0304	0.8742	0.3691	0.9052	0.5018
CAZy:GT	Methylobacterium	1.6804	1.7576	0.0772	0.0648	-0.0565	0.7608	0.8242	0.8175	0.8809
CAZy:GT	Candidatus Sulfopaludibacter	2.6416	1.7561	-0.8855	-0.5887	-0.4652	0.0095	0.0301	0.0371	0.0893
CAZy:GT	Anatilimnocola	2.3893	1.732	-0.6573	-0.4639	-0.4	0.0259	0.1142	0.0711	0.2217
CAZy:GT	Nitrosomonas	3.1428	1.7168	-1.4261	-0.872	-0.5304	0.0031	0.0035	0.0183	0.0212
CAZy:GT	Rubrivivax	5.1502	1.7161	-3.4341	-1.5849	-0.6348	0.0004	0.0002	0.0061	0.003
CAZy:GT	Aromatoleum	3.6287	1.7016	-1.9271	-1.0921	-0.4217	0.0188	0.0033	0.0576	0.0206
CAZy:GT	Neobacillus	0.2903	1.6932	1.4028	2.5398	0.5087	0.0046	0.0056	0.0231	0.0286
CAZy:GT	Clonostachys	0.0655	1.6925	1.627	4.6699	0.5348	0.0026	0.0345	0.0166	0.0978
CAZy:GT	Steroidobacter	3.1075	1.6647	-1.4428	-0.9001	-0.6609	0.0002	0.0001	0.0046	0.0023
CAZy:GT	Rugositalea	1.0396	1.6013	0.5617	0.6227	0.3435	0.056	0.0855	0.1203	0.1824
CAZy:GT	Neisseria	1.0219	1.5941	0.5722	0.641	0.2348	0.1927	0.0286	0.2901	0.0867
CAZy:GT	Gemmatimonas	3.5736	1.5352	-2.0384	-1.2184	-0.6739	0.0002	0.0001	0.0039	0.0013
CAZy:GT	Methylibium	4.6084	1.525	-3.0833	-1.5948	-0.6957	0.0001	0.0	0.003	0.0004
CAZy:GT	Candidatus Hakubella	1.4344	1.5228	0.0884	0.0862	0.0435	0.8171	0.8259	0.8627	0.882
CAZy:GT	Mycoplasmopsis	0.8318	1.5156	0.6837	0.8647	0.0261	0.8935	0.2356	0.9192	0.3677
CAZy:GT	Aquabacterium	3.2497	1.4978	-1.7519	-1.1169	-0.5565	0.0019		0.014	1.0
CAZy:GT	Aphanomyces	0.9507	1.482	0.5313	0.6399	0.3826	0.0331	0.0124	0.0844	0.0498
CAZy:GT	Novosphingobium	1.5957	1.4739	-0.1217	-0.1144	-0.1522	0.4009	0.6962	0.5042	0.7827
CAZy:GT	Sorangium	2.6487	1.4715	-1.1771	-0.8475	-0.6	0.0008	0.0154	0.0085	0.0577
CAZy:GT	Nitrososphaera	0.4675	1.4675	1.0	1.6483	0.5522	0.0021	0.0014	0.0145	0.0112
CAZy:GT	Microvirga	1.449	1.4576	0.0086	0.0085	-0.2217	0.2188	0.9773	0.3178	0.9886
CAZy:GT	Legionella	1.4962	1.4466	-0.0496	-0.0486	-0.1652	0.3612	0.7821	0.4651	0.8488
CAZy:GT	Chryseolinea	3.5256	1.4424	-2.0832	-1.2888	-0.6739	0.0002	0.0	0.0039	0.0009
CAZy:GT	Roseateles	4.0886	1.4129	-2.6757	-1.5323	-0.6826	0.0001	0.0001	0.0035	0.0012
CAZy:GT	Hyphomicrobium	1.4454	1.3635	-0.082	-0.0842	-0.1913	0.2895	0.6965	0.3925	0.7828
CAZy:GT	Desulfuromonas	2.5621	1.3528	-1.2093	-0.9209	-0.4043	0.0243	0.0436	0.0678	0.1147
CAZy:GT	Actinomadura	1.1565	1.3197	0.1633	0.1904	0.1957	0.2786	0.4598	0.3804	0.5853
CAZy:GT	Campylobacter	0.7863	1.3133	0.527	0.7393	0.3913	0.0293	0.007	0.0776	0.0334
CAZy:GT	Paludibaculum	1.7144	1.3091	-0.4053	-0.3889	-0.4043	0.0243	0.3248	0.0678	0.4585
CAZy:GT	Sphingosinicella	1.4867	1.3052	-0.1816	-0.1878	-0.1609	0.3741	0.7525	0.4773	0.8261
CAZy:GT	Chromobacterium	1.3926	1.2971	-0.0955	-0.1025	-0.0739	0.6879	0.7597	0.7556	0.8322
CAZy:GT	Azoarcus	3.8679	1.2787	-2.5892	-1.5961	-0.5652	0.0016	0.0007	0.0127	0.0067
CAZy:GT	Vibrio	1.9541	1.2785	-0.6756	-0.6116	-0.4913	0.0062	0.0073	0.0279	0.0343
CAZy:GT	Methyloceanibacter	1.0618	1.2766	0.2148	0.2656	-0.0739	0.6879	0.4256	0.7556	0.5543
CAZy:GT	Opitutus	1.7009	1.2611	-0.4398	-0.4313	-0.3957	0.0276	0.1615	0.0742	0.2825
CAZy:GT	Massilia	2.3457	1.2498	-1.096	-0.9078	-0.5261	0.0033	0.016	0.0193	0.0592
CAZy:GT	Candidatus Accumulibacter	2.3275	1.2485	-1.079	-0.898	-0.6304	0.0004	0.0054	0.0063	0.0282
CAZy:GT	Nevskia	2.3001	1.2467	-1.0534	-0.883	-0.4565	0.0109	0.0255	0.0405	0.0807
CAZy:GT	Noviherbaspirillum	1.8933	1.2316	-0.6616	-0.6199	-0.4783	0.0077	0.0134	0.0322	0.0526
CAZy:GT	Polyangium	2.2911	1.229	-1.0621	-0.898	-0.687	0.0001	0.0023	0.0033	0.0161
CAZy:GT	Cryptosporangium	0.1656	1.2111	1.0455	2.8632	0.8652	0.0	0.0	0.0007	0.0009
CAZy:GT	Diaporthe	0.1339	1.2072	1.0733	3.163	0.65	0.0003	0.0012	0.0052	0.0098
CAZy:GT	Iamia	0.8177	1.2029	0.3852	0.5563	0.3652	0.042	0.0261	0.0992	0.0817
CAZy:GT	Azohydromonas	2.4651	1.1842	-1.2809	-1.0571	-0.5696	0.0015	0.0017	0.012	0.013
CAZy:GT	Parasutterella	1.321	1.1837	-0.1373	-0.1582	-0.0478	0.7982	0.5124	0.8485	0.6317
CAZy:GT	Intrasporangium	0.2726	1.1807	0.9081	2.1109	0.7543	0.0	0.0005	0.002	0.0053
CAZy:GT	Pseudolabrys	0.9376	1.1731	0.2355	0.323	0.1783	0.3241	0.5357	0.4277	0.6523
CAZy:GT	Dactylonectria	0.1251	1.1531	1.028	3.1937	0.4609	0.0097	0.0134	0.0376	0.0527
CAZy:GT	Rhabdothermincola	0.7265	1.153	0.4265	0.6656	0.413	0.0214	0.0217	0.0624	0.0726
CAZy:GT	Reticulomyxa	2.0936	1.149	-0.9446	-0.8651	-0.4348	0.0154	0.0425	0.0504	0.1133
CAZy:GT	Podospora	0.1472	1.1486	1.0015	2.9558	0.3804	0.0339	0.0229	0.086	0.075
CAZy:GT	Paludisphaera	1.2841	1.1341	-0.15	-0.1791	-0.3739	0.0374	0.6706	0.0915	0.7624
CAZy:GT	Cellulomonas	0.7015	1.1305	0.4291	0.6878	0.3783	0.0352	0.0341	0.0878	0.097
CAZy:GT	Amaricoccus	2.3392	1.1297	-1.2095	-1.0495	-0.313	0.0817	0.032	0.1563	0.0931
CAZy:GT	Nakamurella	0.631	1.1196	0.4886	0.8263	0.4565	0.0109	0.2258	0.0405	0.3574
CAZy:GT	Singulisphaera	1.2834	1.1195	-0.1639	-0.1969	-0.2739	0.1281	0.6113	0.2153	0.7149
CAZy:GT	Desertimonas	0.5542	1.1181	0.564	1.0114	0.6217	0.0005	0.0001	0.0068	0.0012
CAZy:GT	Povalibacter	2.4214	1.0971	-1.3242	-1.1414	-0.6913	0.0001	0.0	0.0032	0.0006
CAZy:GT	Enhydrobacter	1.7116	1.0807	-0.631	-0.663	-0.387	0.0312	0.0242	0.081	0.0778
CAZy:GT	Metapseudomonas	1.4365	1.0539	-0.3826	-0.4465	-0.3217	0.0735	0.8918	0.1447	0.9322
CAZy:GT	Pseudourostyla	0.5762	1.053	0.4768	0.8687	0.3304	0.066	0.0283	0.1348	0.0861
CAZy:GT	Lachnoclostridium	1.1632	1.0527	-0.1105	-0.1438	-0.0304	0.8742	0.7651	0.9052	0.8363
CAZy:GT	Parachlamydia	0.8773	1.0364	0.1592	0.2403	0.1652	0.3612	0.5686	0.4651	0.6792
CAZy:GT	Anaerolinea	0.63	1.0008	0.3708	0.6669	0.2087	0.2474	0.1341	0.348	0.2481
CAZy:GT	Fimbriiglobus	1.0419	0.9857	-0.0563	-0.08	-0.1261	0.4877	0.7714	0.5838	0.8405
CAZy:GT	Hymenobacter	1.3375	0.9822	-0.3553	-0.4451	-0.4652	0.0095	0.0784	0.0371	0.1716
CAZy:GT	Geobacter	1.5038	0.9723	-0.5314	-0.6285	-0.4261	0.0176	0.0963	0.055	0.1972
CAZy:GT	Lysobacter	1.3826	0.9701	-0.4125	-0.5108	-0.413	0.0214	0.297	0.0624	0.4318
CAZy:GT	Amycolatopsis	0.6752	0.9546	0.2794	0.499	0.2565	0.1543	0.0813	0.2467	0.1756
CAZy:GT	Thioalkalivibrio	1.6988	0.9538	-0.7451	-0.8321	-0.6652	0.0002	0.0087	0.0044	0.0389
CAZy:GT	Caldimonas	2.6537	0.9481	-1.7056	-1.4839	-0.7174	0.0001	0.0	0.0026	0.0001
CAZy:GT	Segatella	0.8063	0.9456	0.1393	0.2296	0.187	0.3007	0.504	0.4036	0.6252
CAZy:GT	Tuwongella	0.7878	0.9436	0.1559	0.2602	0.1652	0.3612	0.272	0.4651	0.4064
CAZy:GT	Azospira	1.4127	0.9421	-0.4706	-0.584	-0.5391	0.0026	0.069	0.0167	0.1578
CAZy:GT	Pseudorhodoplanes	0.8505	0.9326	0.0821	0.1328	-0.0174	0.9321	0.6785	0.9493	0.7694
CAZy:GT	Bordetella	1.1757	0.9321	-0.2435	-0.3346	-0.2	0.2679	0.164	0.3698	0.2856
CAZy:GT	Dongia	1.5342	0.9292	-0.605	-0.7228	-0.5087	0.0046	0.0098	0.0231	0.0423
CAZy:GT	Purpureocillium	0.0551	0.9208	0.8657	4.0384	0.4283	0.0152	0.0037	0.05	0.0221
CAZy:GT	Ideonella	2.7498	0.9154	-1.8344	-1.5858	-0.687	0.0001	0.0	0.0033	0.0006
CAZy:GT	Conexibacter	0.3843	0.9045	0.5202	1.2328	0.6826	0.0001	0.0004	0.0035	0.0044
CAZy:GT	Acanthamoeba	2.5801	0.8873	-1.6928	-1.5388	-0.7391	0.0	0.0	0.0023	0.0002
CAZy:GT	Kribbella	0.3719	0.8597	0.4878	1.2067	0.5087	0.0046	0.0005	0.0231	0.0056
CAZy:GT	Litorilinea	0.4298	0.8535	0.4237	0.9881	0.6391	0.0004	0.0	0.0057	0.0004
CAZy:GT	Usitatibacter	2.2697	0.8493	-1.4204	-1.4171	-0.7174	0.0001	0.0	0.0026	0.0001
CAZy:GT	Deinococcus	0.7633	0.8491	0.0857	0.1533	-0.0609	0.7424	0.6123	0.8016	0.7154
CAZy:GT	Catellatospora	0.7953	0.8478	0.0525	0.0921	0.0739	0.6879	0.1828	0.7556	0.3062
CAZy:GT	Devosia	1.0968	0.8438	-0.253	-0.378	-0.3261	0.0697	0.168	0.1397	0.2901
CAZy:GT	Saccharopolyspora	0.2241	0.8432	0.6191	1.9071	0.687	0.0001	0.0001	0.0033	0.0013
CAZy:GT	Actinoplanes	0.6377	0.8369	0.1992	0.3916	0.1261	0.4877	0.1355	0.5838	0.2496
CAZy:GT	Kolteria	1.0841	0.825	-0.2591	-0.3937	-0.2652	0.1407	0.1788	0.2316	0.3021
CAZy:GT	Pochonia	0.1302	0.8216	0.6914	2.6485	0.5848	0.0011	0.0052	0.0101	0.0275
CAZy:GT	Phycicoccus	0.2556	0.8189	0.5634	1.6762	0.5522	0.0021	0.0025	0.0145	0.0168
CAZy:GT	Archangium	1.2339	0.8188	-0.4152	-0.5911	-0.5522	0.0021	0.0914	0.0145	0.19
CAZy:GT	Terrabacter	0.1193	0.8134	0.6941	2.7594	0.763	0.0	0.0003	0.0018	0.0041
CAZy:GT	Mucilaginibacter	1.0907	0.804	-0.2867	-0.4396	-0.3348	0.0625	0.0432	0.1301	0.1142
CAZy:GT	Gordonia	0.5489	0.8029	0.2539	0.5477	0.3913	0.0293	0.1583	0.0776	0.2791
CAZy:GT	Rhodoferax	1.3827	0.785	-0.5977	-0.816	-0.5522	0.0021	0.0187	0.0145	0.0661
CAZy:GT	Zavarzinella	1.0001	0.7849	-0.2152	-0.3491	-0.2348	0.1927	0.4293	0.2901	0.5581
CAZy:GT	Hydrogenophaga	1.8128	0.7839	-1.0289	-1.2084	-0.6652	0.0002	0.0	0.0044	0.0006
CAZy:GT	Colletotrichum	0.2376	0.7803	0.5427	1.7113	0.3739	0.0373	0.0166	0.0915	0.0608
CAZy:GT	Zoogloea	2.4052	0.7662	-1.6391	-1.6492	-0.6435	0.0003	0.0001	0.0054	0.0012
CAZy:GT	Urbifossiella	0.8205	0.7649	-0.0556	-0.1011	-0.1957	0.2786	0.7818	0.3804	0.8486
CAZy:GT	Rhodoplanes	0.6418	0.7605	0.1187	0.2444	0.0739	0.6879	0.466	0.7556	0.5908
CAZy:GT	Chitinophaga	1.4479	0.7561	-0.6918	-0.9365	-0.6	0.0008	0.0005	0.0085	0.0055
CAZy:GT	Enterococcus	0.8405	0.7488	-0.0917	-0.1665	-0.1739	0.3362	0.5511	0.4398	0.666
CAZy:GT	Fontisphaera	1.3088	0.7482	-0.5606	-0.8059	-0.5826	0.0012	0.0077	0.0105	0.0354
CAZy:GT	Planctomyces	0.7852	0.743	-0.0422	-0.0796	-0.2217	0.2188	0.8304	0.3178	0.8852
CAZy:GT	Roseomonas	1.3229	0.7407	-0.5822	-0.8358	-0.4435	0.0135	0.0312	0.0458	0.0916
CAZy:GT	Brevundimonas	1.0126	0.7372	-0.2754	-0.4574	-0.3783	0.0352	0.0863	0.0878	0.1833
CAZy:GT	Limnoglobus	0.8316	0.7331	-0.0985	-0.1817	-0.0696	0.7059	0.6545	0.7709	0.7498
CAZy:GT	Allobosea	0.8099	0.7274	-0.0825	-0.1547	-0.2913	0.1054	0.6433	0.1861	0.7399
CAZy:GT	Blastopirellula	1.003	0.7209	-0.2821	-0.4759	-0.4304	0.0165	0.0941	0.0527	0.1941
CAZy:GT	Phyllobacterium	0.6499	0.7208	0.0709	0.1492	0.1087	0.5508	0.6587	0.6396	0.7523
CAZy:GT	Candidatus Nitrosocosmicus	0.3103	0.7198	0.4095	1.2115	0.2978	0.0976	0.0244	0.177	0.0781
CAZy:GT	Nitrosospira	1.0141	0.7158	-0.2983	-0.502	-0.3217	0.0735	0.1153	0.1447	0.2234
CAZy:GT	Limisphaera	0.8667	0.7117	-0.1551	-0.2841	-0.3826	0.0331	0.3681	0.0844	0.5007
CAZy:GT	Corallococcus	0.8701	0.7115	-0.1586	-0.2899	-0.3783	0.0352	0.4218	0.0878	0.5513
CAZy:GT	Dyella	0.8797	0.7099	-0.1698	-0.309	-0.4391	0.0144	0.3699	0.048	0.5023
CAZy:GT	Nonomuraea	0.6602	0.7042	0.044	0.0929	-0.0043	0.9903	0.7491	0.9944	0.8232
CAZy:GT	Desulfovibrio	0.9975	0.6891	-0.3084	-0.533	-0.5391	0.0026	0.0919	0.0167	0.1908
CAZy:GT	Frigoriglobus	0.7722	0.6863	-0.0859	-0.1699	-0.2348	0.1927	0.595	0.2901	0.7016
CAZy:GT	Terriglobus	0.4964	0.6851	0.1887	0.4639	-0.1565	0.3874	0.5251	0.4913	0.6431
CAZy:GT	Caballeronia	0.786	0.6821	-0.1038	-0.2041	-0.2739	0.1281	0.4679	0.2153	0.5925
CAZy:GT	Croceibacterium	0.6861	0.6733	-0.0127	-0.027	-0.213	0.2376	0.7407	0.3377	0.8164
CAZy:GT	Prosthecobacter	0.6844	0.6726	-0.0118	-0.0251	-0.1522	0.4009	0.944	0.5042	0.9669
CAZy:GT	Planoprotostelium	1.4666	0.6664	-0.8001	-1.1367	-0.6478	0.0003	0.0001	0.0052	0.0018
CAZy:GT	Allochromatium	0.263	0.6653	0.4023	1.3356	0.3	0.0953	0.0021	0.1735	0.0147
CAZy:GT	Sinorhizobium	0.5558	0.6643	0.1085	0.2569	-0.0565	0.7608	0.745	0.8175	0.8202
CAZy:GT	Humisphaera	1.5058	0.6588	-0.847	-1.1914	-0.6696	0.0002	0.0001	0.0042	0.0023
CAZy:GT	Miltoncostaea	0.3785	0.6587	0.2802	0.7977	0.3478	0.0529	0.0029	0.1157	0.0191
