function	genus	pre_HPM	drought_HPM	delta	log2FC	cliffs_delta	p	mixed_p	q_BH	mixed_q_BH
CAZy:degradation	Candidatus Thiosymbion	0.1158	0.0651	-0.0507	-0.8221	-0.5087	0.0044	0.087	0.0226	0.1841
CAZy:degradation	Mangrovimicrobium	0.1167	0.065	-0.0517	-0.8339	-0.4304	0.0158	0.0147	0.0515	0.0558
CAZy:degradation	Persicirhabdus	0.083	0.065	-0.018	-0.3482	-0.3087	0.0841	0.5139	0.1598	0.6329
CAZy:degradation	Spectribacter	0.0827	0.0649	-0.0178	-0.3445	-0.3609	0.0436	0.5107	0.102	0.6303
CAZy:degradation	Candidatus Xiphinematobacter	0.1222	0.0648	-0.0574	-0.9054	-0.5043	0.0046	0.0416	0.0231	0.1116
CAZy:degradation	Thamnocephalis	0.0772	0.0647	-0.0124	-0.25	-0.0957	0.599	0.4991	0.6827	0.621
CAZy:degradation	Mastigocladopsis	0.0554	0.0647	0.0093	0.2196	-0.2848	0.1002	0.8361	0.18	0.8896
CAZy:degradation	Desulfosediminicola	0.0881	0.0647	-0.0234	-0.44	-0.287	0.1015	0.4822	0.182	0.6058
CAZy:degradation	Termitomyces	0.05	0.0646	0.0147	0.3646	0.1087	0.5438	0.5025	0.6359	0.624
CAZy:degradation	Desulfoprunum	0.0483	0.0646	0.0164	0.4138	-0.0652	0.7138	0.5267	0.7787	0.6445
CAZy:degradation	Halorussus	0.0703	0.0645	-0.0058	-0.1228	0.0891	0.6225	0.8788	0.7032	0.9236
CAZy:degradation	Corynascus	0.0241	0.0645	0.0404	1.3848	0.3217	0.0612	0.0335	0.1289	0.0959
CAZy:degradation	Dothidotthia	0.1266	0.0643	-0.0623	-0.9662	-0.1043	0.5639	0.065	0.6534	0.1513
CAZy:degradation	Weissella	0.0481	0.0643	0.0163	0.4129	-0.1478	0.4046	0.5716	0.5087	0.6815
CAZy:degradation	Lasiodiplodia	0.0153	0.0643	0.049	1.9992	0.3391	0.0447	0.0228	0.1035	0.0748
CAZy:degradation	Ligilactobacillus	0.0347	0.0643	0.0296	0.8723	0.2109	0.2343	0.0788	0.3352	0.172
CAZy:degradation	Seonamhaeicola	0.0515	0.0643	0.0128	0.3154	-0.0457	0.8043	0.5869	0.8548	0.6952
CAZy:degradation	Paralcaligenes	0.0696	0.0641	-0.0054	-0.1154	-0.1609	0.3675	0.8156	0.471	0.8734
CAZy:degradation	Sulfuricurvum	0.0936	0.0641	-0.0295	-0.5384	-0.287	0.1085	0.1748	0.1909	0.2976
CAZy:degradation	Mangrovactinospora	0.0333	0.0641	0.0307	0.9218	0.3565	0.0442	0.0473	0.1031	0.1214
