genus	pre	drought	log2FC	p	named	q_BH	cliffs_delta	cliffs_mag
Nitrospira_D	0.8592176470588236	0.2759052631578947	-1.6353092525893769	0.000930946183821	True	0.06516623286747	-0.6346749226006192	large
Bradyrhizobium	0.5485823529411764	0.3052578947368422	-0.8435886455566661	0.0306845677106015	True	0.5681903052128339	-0.3931888544891641	medium
Methyloceanibacter	5.295917647058824	7.68628947368421	0.5373219170699897	0.0311811995997503	True	0.5681903052128339	0.4241486068111455	medium
DATFRX01	0.0597529411764705	0.1795105263157894	1.571056809688833	0.0356983262389606	False	0.5681903052128339	0.3560371517027864	medium
JAREAF01	0.9655882352941176	0.5610368421052632	-0.7822367315721275	0.0414446076056957	False	0.5681903052128339	-0.3993808049535604	medium
JAIBJN01	0.0	0.0904842105263157	6.515450861660612	0.0517520552952308	False	0.5681903052128339	0.21052631578947367	small
CAYXGZ01	0.100135294117647	0.0	-6.66014274549926	0.0642248158529756	False	0.5681903052128339	-0.17647058823529413	small
Geopseudomonas	0.3429117647058823	0.0669210526315789	-2.340107746267678	0.0709330625803075	True	0.5681903052128339	-0.23219814241486067	small
DASSJM01	1.266070588235294	2.066447368421053	0.7063537038236333	0.075319750837085	False	0.5681903052128339	0.3498452012383901	medium
JARDZU01	0.9097647058823528	1.3547684210526318	0.5739604825326879	0.0811700436018334	False	0.5681903052128339	0.34365325077399383	medium
Palsa-1315	0.7740882352941176	0.6000842105263158	-0.3667934313629586	0.1118083392927318	True	0.6923024431831808	-0.3126934984520124	small
Nitrospira_C	5.337017647058823	4.23481052631579	-0.3336660179001364	0.1204973630002233	True	0.6923024431831808	-0.3065015479876161	small
Azotobacter	0.1412235294117647	0.0	-7.152016353448826	0.1398377678649576	True	0.6923024431831808	-0.11764705882352941	negligible
Ramlibacter	0.0921	0.0	-6.540709262671431	0.1398377678649576	True	0.6923024431831808	-0.11764705882352941	negligible
JAEUMW01	0.3662	0.1797947368421052	-1.0222133790202783	0.1567054797014603	False	0.6923024431831808	-0.23529411764705882	small
Flavobacterium	0.0797	0.0356210526315789	-1.1398954131014754	0.1824287669449693	True	0.6923024431831808	-0.20123839009287925	small
CAZWGW01	0.0	0.0527473684210526	5.748122214076171	0.1879106631497205	False	0.6923024431831808	0.10526315789473684	negligible
PNKE01	0.0	0.1614684210526315	7.344015518881333	0.1879106631497205	False	0.6923024431831808	0.10526315789473684	negligible
GMQP-bins7	0.0	0.0540842105263157	5.783566935283767	0.1879106631497205	True	0.6923024431831808	0.10526315789473684	negligible
DASRDR01	1.4256411764705883	0.8088947368421052	-0.8168162029096491	0.1985003611983087	False	0.6947512641940804	-0.25077399380804954	small
JBGPEQ01	1.0966529411764707	0.9014052631578948	-0.2825745840910778	0.2148675618365021	False	0.7162252061216736	-0.24458204334365324	small
Pseudolabrys	5.090552941176471	4.212257894736842	-0.2731695239893975	0.2410208844560596	True	0.7412258240205981	-0.23219814241486067	small
JAGVSZ01	0.6540058823529411	0.2514736842105263	-1.375374842007841	0.2764044039908443	False	0.7412258240205981	-0.15789473684210525	small
Peribacillus	0.0293647058823529	0.0693473684210526	1.2121010605619456	0.2915503920605238	True	0.7412258240205981	0.14551083591331268	negligible
DASTBU01	0.254635294117647	0.1288210526315789	-0.977562675592636	0.3078744476323722	False	0.7412258240205981	-0.17027863777089783	small
DATFEN01	0.1735529411764706	0.0766578947368421	-1.1684601639577468	0.3170350286987421	False	0.7412258240205981	-0.13003095975232198	negligible
Agromyces	0.3919470588235293	0.5220999999999999	0.4127518166100618	0.3429490768474174	True	0.7412258240205981	0.17647058823529413	small
DATBIJ01	1.1445058823529413	0.9059894736842103	-0.3368271547581312	0.3543406867874736	False	0.7412258240205981	-0.17027863777089783	small
DASRRB01	0.2373647058823529	0.1380210526315789	-0.7778672612604557	0.3665509058998826	False	0.7412258240205981	-0.11764705882352941	negligible
DP-20	0.0983705882352941	0.0573947368421052	-0.766980561382059	0.3665845062012117	False	0.7412258240205981	-0.14241486068111456	negligible
AWTP1-13	0.4856	0.426178947368421	-0.1878957717424201	0.3732158474032231	False	0.7412258240205981	-0.17647058823529413	small
SCUD01	0.0	0.0915631578947368	6.532366179312899	0.3733242462313196	False	0.7412258240205981	0.05263157894736842	negligible
VBDM01	0.0	0.0800052631578947	6.339943742207025	0.3733242462313196	False	0.7412258240205981	0.05263157894736842	negligible
Rhabdochlamydia	0.2956882352941177	0.3999684210526316	0.4345408991148953	0.3905262438427069	True	0.7412258240205981	0.17027863777089783	small
ZC4RG19	0.2309411764705882	0.3349421052631579	0.5344536628307046	0.410342402281849	False	0.7412258240205981	0.15170278637770898	small
DATBJJ01	0.8688705882352941	0.555	-0.6457159023822245	0.4107168857938951	False	0.7412258240205981	-0.13003095975232198	negligible
DATFES01	0.0551882352941176	0.1047052631578947	0.911707216209813	0.4162665465857261	False	0.7412258240205981	0.08978328173374613	negligible
Streptomyces	0.0554764705882352	0.1089578947368421	0.9612293527762824	0.4162665465857261	True	0.7412258240205981	0.08978328173374613	negligible
VGTJ01	0.6837176470588235	0.6161526315789474	-0.1498818603924967	0.4444827472993682	False	0.7412258240205981	-0.15170278637770898	small
AR31	5.69420588235294	7.085710526315788	0.3153681234329078	0.4469552218793625	False	0.7412258240205981	0.15170278637770898	small
TH1177	2.5794470588235296	3.504268421052632	0.4419038927584516	0.4469552218793625	False	0.7412258240205981	0.15170278637770898	small
DATBSL01	0.5671529411764706	0.8240315789473683	0.5381699997706488	0.4561897604865269	False	0.7412258240205981	0.1393188854489164	negligible
Z2-YC6860	0.3853705882352941	0.2357631578947368	-0.7065406714219713	0.4787446440535206	True	0.7412258240205981	-0.10835913312693499	negligible
DATEDA01	5.266611764705882	4.614610526315789	-0.1906275276525132	0.5253090886481546	False	0.7412258240205981	-0.12693498452012383	negligible
DATBVX01	2.799958823529412	2.348578947368421	-0.2535185306899071	0.5253090886481546	False	0.7412258240205981	-0.12693498452012383	negligible
TH5896	0.8282941176470588	1.3633105263157894	0.7182162847472665	0.525977077040024	False	0.7412258240205981	0.12693498452012383	negligible
Aquipseudomonas	0.0815411764705882	0.0325210526315789	-1.3000465480114451	0.5271871411119724	True	0.7412258240205981	-0.07739938080495357	negligible
CAVVWJ01	0.5637705882352941	0.4008263157894736	-0.491092908883252	0.5596746072785902	False	0.7412258240205981	-0.08978328173374613	negligible
Metapseudomonas	1.040729411764706	0.6987105263157896	-0.5741504870305069	0.5596746072785902	True	0.7412258240205981	-0.08978328173374613	negligible
Rubrivivax	0.2343294117647059	0.1477157894736842	-0.6621238121216666	0.562175249119049	True	0.7412258240205981	-0.07120743034055728	negligible
SCGC-AG-212-J23	21.020935294117645	22.861536842105263	0.121090003891797	0.5901020524418137	True	0.7412258240205981	0.10835913312693499	negligible
SG8-41	1.0039235294117648	0.8553947368421053	-0.2307378878926033	0.5920124051794158	False	0.7412258240205981	-0.1021671826625387	negligible
SHXO01	0.1720470588235294	0.1108736842105263	-0.6292937067095807	0.5982481619449217	False	0.7412258240205981	-0.06501547987616099	negligible
JBEVEP01	0.2398941176470588	0.1451052631578947	-0.7213910157190045	0.6019004432552164	False	0.7412258240205981	-0.08359133126934984	negligible
Brocadia	0.1764647058823529	0.1142736842105263	-0.6224689322417357	0.607132431552659	True	0.7412258240205981	-0.09907120743034056	negligible
