sample	coverage	breadth	nucl_diversity	SNV_count	SNS_count	divergent_sites	condition
SRR24887495	1.68167656333648	0.7046737882333357	0.0252807773120146	6790	961	7751	pre-drought
SRR24887496	2.058719505235872	0.7557228226222927	0.0234223756909468	10060	1553	11613	pre-drought
SRR24887501	4.145882714216082	0.9436923942248092	0.0171049770032775	27434	3975	31409	pre-drought
SRR24887502	1.6799532375257509	0.6965275583947659	0.0256000429606517	7283	1057	8340	drought
SRR24887504	5.08361976609935	0.9531044771790173	0.0163546861554203	37717	5170	42887	drought
SRR24887506	6.542902173988437	0.9775769017590786	0.0177704435017313	57669	5845	63514	pre-drought
SRR24887507	4.5262471411897565	0.9451111586134447	0.0174563483496424	33763	4957	38720	drought
SRR24887508	1.748936084349011	0.7580344627328429	0.0180277481629036	4254	875	5129	pre-drought
SRR24887527	7.694150024560388	0.9796322184367486	0.0191948218019395	78528	6594	85122	pre-drought
SRR24887632	5.751777396497985	0.964590478388435	0.0186564251243703	54300	6630	60930	drought
SRR24887633	6.579250602344303	0.9776500469453372	0.0175305823069435	62377	5955	68332	pre-drought
SRR24887636	7.691994448532588	0.9828033144858368	0.0175079995605125	73661	5496	79157	drought
SRR24887773	2.265271422238785	0.7912489981947012	0.0225914169930241	11598	1778	13376	pre-drought
SRR24887774	7.873098776898985	0.9849724475955728	0.0081329218416385	31110	4957	36067	pre-drought
SRR24887777	7.131534592313324	0.9797160831761658	0.0177967519153577	69933	6441	76374	drought
SRR24888034	7.324656485613413	0.98137666807282	0.0178355761362769	66950	5997	72947	drought
SRR24888047	1.3009555535797948	0.6131020053761712	0.0298459665870133	4735	596	5331	drought
SRR24888113	6.641967870346374	0.9767117707629864	0.0192317261938566	66048	6549	72597	drought
SRR24888123	7.932562660517426	0.9807725897242364	0.0188779008848501	78802	6018	84820	pre-drought
SRR24888217	11.174928604623156	0.990782760688498	0.0191103227120609	106279	5517	111796	drought
SRR24888308	12.08397098910578	0.9965933890623984	0.0124158091970077	68864	3150	72014	pre-drought
SRR24888309	2.292105616604461	0.8057970082357696	0.0209266278464821	9979	1595	11574	drought
SRR24888310	9.509741551573349	0.9942183774758226	0.0123405947186446	56157	3479	59636	pre-drought
SRR24888329	14.974199611952177	0.999136445408784	0.0130632292330206	86690	486	87176	pre-drought
SRR24888352	2.936108625646089	0.8777053472283964	0.0199297257636965	16492	2186	18678	drought
SRR24888482	3.2662777991117906	0.8933331946097042	0.0194916855703623	20757	2786	23543	drought
SRR24888489	3.659732061615992	0.9214203155710338	0.0190671741080102	24393	3030	27423	pre-drought
SRR24888615	2.8909934944923568	0.8677194528992292	0.0195828197659155	16620	2229	18849	pre-drought
SRR24888635	7.572099083982654	0.9894005688929918	0.0137587377995037	50904	3814	54718	drought
SRR24888648	10.20043924945472	0.9948230863863566	0.0127429175610027	63217	3539	66756	drought
