feature	pre	drought	log2FC	p	cliffs_delta	q_BH
AA33424	0.0008	0.0	-0.886	0.305	-0.05	0.5037
AA33555	0.0008	0.0	-0.8297	0.305	-0.05	0.5037
AA33665	0.0026	0.0	-1.8512	0.305	-0.05	0.5037
AA34120	0.0083	0.0	-3.2156	0.305	-0.05	0.5037
GT31656	0.0006	0.0	-0.6862	0.305	-0.05	0.5037
PL49847	0.0015	0.0	-1.3472	0.305	-0.05	0.5037
PL49894	0.0006	0.0	-0.6381	0.305	-0.05	0.5037
PL49909	0.0026	0.0	-1.8512	0.305	-0.05	0.5037
PL49982	0.0023	0.0	-1.7364	0.305	-0.05	0.5037
CE77123	0.0036	0.0	-2.1931	0.305	-0.05	0.5037
AA38204	0.0034	0.0	-2.1349	0.305	-0.05	0.5037
AA38390	0.005	0.0	-2.5865	0.305	-0.05	0.5037
AA34070	0.0012	0.0	-1.1494	0.305	-0.05	0.5037
AA34491	0.0063	0.0	-2.8718	0.305	-0.05	0.5037
GT33227	0.0012	0.0	-1.1687	0.305	-0.05	0.5037
GT33341	0.0037	0.0	-2.2462	0.305	-0.05	0.5037
GT33848	0.0008	0.0	-0.8297	0.305	-0.05	0.5037
GT36107	0.0006	0.0	-0.6409	0.305	-0.05	0.5037
AA34695	0.0013	0.0	-1.2299	0.305	-0.05	0.5037
AA34736	0.0008	0.0	-0.886	0.305	-0.05	0.5037
AA35352	0.0028	0.0	-1.9189	0.305	-0.05	0.5037
GT50864	0.0008	0.0	-0.886	0.305	-0.05	0.5037
CE84782	0.006	0.0	-2.8085	0.305	-0.05	0.5037
CE84798	0.0027	0.0	-1.8838	0.305	-0.05	0.5037
CE85212	0.0017	0.0	-1.4137	0.305	-0.05	0.5037
PL00250	0.0008	0.0	-0.886	0.305	-0.05	0.5037
AA2632466	0.0009	0.0	-0.8937	0.305	-0.05	0.5037
AA26835	0.0009	0.0	-0.918	0.305	-0.05	0.5037
AA27205	0.0033	0.0	-2.1096	0.305	-0.05	0.5037
AA28632	0.0007	0.0	-0.7779	0.305	-0.05	0.5037
PL20121	0.0027	0.0	-1.8752	0.305	-0.05	0.5037
CE84496	0.0039	0.0	-2.286	0.305	-0.05	0.5037
GT98839	0.002	0.0	-1.5636	0.305	-0.05	0.5037
AA30009	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
GT52412	0.0007	0.0	-0.7242	0.305	-0.05	0.5037
GT53635	0.0028	0.0	-1.9189	0.305	-0.05	0.5037
GT54588	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
AA2629581	0.0008	0.0	-0.8254	0.305	-0.05	0.5037
AA2630281	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
AA32932	0.0013	0.0	-1.2041	0.305	-0.05	0.5037
AA30492	0.0008	0.0	-0.886	0.305	-0.05	0.5037
GT46341	0.0007	0.0	-0.7779	0.305	-0.05	0.5037
GT47380	0.0006	0.0	-0.6862	0.305	-0.05	0.5037
GT47862	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
GT48060	0.0014	0.0	-1.2805	0.305	-0.05	0.5037
GT48564	0.0031	0.0	-2.0315	0.305	-0.05	0.5037
AA31411	0.0014	0.0	-1.2805	0.305	-0.05	0.5037
AA31851	0.0014	0.0	-1.2435	0.305	-0.05	0.5037
GT31220	0.0014	0.0	-1.2805	0.305	-0.05	0.5037
CE82749	0.0009	0.0	-0.8937	0.305	-0.05	0.5037
CE83349	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
CE84009	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
CE84076	0.0007	0.0	-0.7242	0.305	-0.05	0.5037
CE84084	0.0015	0.0	-1.3472	0.305	-0.05	0.5037
CE84353	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
PL20032	0.0034	0.0	-2.1349	0.305	-0.05	0.5037
GT10168	0.0013	0.0	-1.2041	0.305	-0.05	0.5037
CE68588	0.0008	0.0	-0.8297	0.305	-0.05	0.5037
GH98505	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
GH98785	0.0018	0.0	-1.4822	0.305	-0.05	0.5037
GH99192	0.0008	0.0	-0.886	0.305	-0.05	0.5037
AA63307	0.0017	0.0	-1.4137	0.305	-0.05	0.5037
AA63496	0.0013	0.0	-1.2299	0.305	-0.05	0.5037
AA64101	0.0008	0.0	-0.8297	0.305	-0.05	0.5037
AA64754	0.0017	0.0	-1.4162	0.305	-0.05	0.5037
CE68580	0.0008	0.0	-0.886	0.305	-0.05	0.5037
GT10173	0.0006	0.0	-0.6381	0.305	-0.05	0.5037
PL48502	0.0033	0.0	-2.0908	0.305	-0.05	0.5037
PL48512	0.0018	0.0	-1.4745	0.305	-0.05	0.5037
PL48594	0.0008	0.0	-0.886	0.305	-0.05	0.5037
PL48709	0.0007	0.0	-0.7242	0.305	-0.05	0.5037
PL49050	0.0031	0.0	-2.0389	0.305	-0.05	0.5037
CE68660	0.0011	0.0	-1.079	0.305	-0.05	0.5037
CE69037	0.0023	0.0	-1.7364	0.305	-0.05	0.5037
GT09657	0.0012	0.0	-1.1687	0.305	-0.05	0.5037
AA7388960	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
AA7389220	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
GH33970	0.0039	0.0	-2.2963	0.305	-0.05	0.5037
GH34426	0.0008	0.0	-0.8254	0.305	-0.05	0.5037
CE46711	0.0036	0.0	-2.1977	0.305	-0.05	0.5037
PL20751	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
PL49065	0.0009	0.0	-0.918	0.305	-0.05	0.5037
PL02713	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
CE70305	0.0039	0.0	-2.286	0.305	-0.05	0.5037
GT100	0.0056	0.0	-2.7189	0.305	-0.05	0.5037
PL28	0.0006	0.0	-0.6409	0.305	-0.05	0.5037
AA67125	0.0018	0.0	-1.4745	0.305	-0.05	0.5037
AA67398	0.0017	0.0	-1.4309	0.305	-0.05	0.5037
GH33453	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
GH33593	0.0006	0.0	-0.6381	0.305	-0.05	0.5037
GH33641	0.0009	0.0	-0.918	0.305	-0.05	0.5037
AA50597	0.0007	0.0	-0.7242	0.305	-0.05	0.5037
AA41773	0.0018	0.0	-1.4994	0.305	-0.05	0.5037
GT20052	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
GT26083	0.0008	0.0	-0.886	0.305	-0.05	0.5037
AA48324	0.001	0.0	-1.0305	0.305	-0.05	0.5037
PL13059	0.0078	0.0	-3.13	0.305	-0.05	0.5037
PL13139	0.0014	0.0	-1.2805	0.305	-0.05	0.5037
CE75511	0.0018	0.0	-1.4745	0.305	-0.05	0.5037
CE75531	0.0017	0.0	-1.4162	0.305	-0.05	0.5037
AA41254	0.0056	0.0	-2.7189	0.305	-0.05	0.5037
GT135	0.001	0.0	-1.0305	0.305	-0.05	0.5037
PL49203	0.0007	0.0	-0.7242	0.305	-0.05	0.5037
AA36393	0.0054	0.0	-2.679	0.305	-0.05	0.5037
AA37352	0.0025	0.0	-1.8254	0.305	-0.05	0.5037
AA37506	0.0011	0.0	-1.079	0.305	-0.05	0.5037
AA37697	0.0008	0.0	-0.8297	0.305	-0.05	0.5037
PL49772	0.0027	0.0	-1.8838	0.305	-0.05	0.5037
GT30475	0.0013	0.0	-1.2041	0.305	-0.05	0.5037
GH28255	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
CE70689	0.0043	0.0	-2.4031	0.305	-0.05	0.5037
PL49208	0.0008	0.0	-0.8297	0.305	-0.05	0.5037
PL49282	0.0009	0.0	-0.8937	0.305	-0.05	0.5037
PL49487	0.0006	0.0	-0.6409	0.305	-0.05	0.5037
PL49552	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
PL49630	0.0011	0.0	-1.079	0.305	-0.05	0.5037
AA57820	0.0039	0.0	-2.2889	0.305	-0.05	0.5037
GH27810	0.0009	0.0	-0.918	0.305	-0.05	0.5037
AA2630320	0.0017	0.0	-1.421	0.305	-0.05	0.5037
CE72802	0.0008	0.0	-0.8254	0.305	-0.05	0.5037
GT124	0.0006	0.0	-0.6862	0.305	-0.05	0.5037
GT129	0.0009	0.0	-0.918	0.305	-0.05	0.5037
AA59363	0.0012	0.0	-1.1494	0.305	-0.05	0.5037
AA61980	0.0042	0.0	-2.3705	0.305	-0.05	0.5037
AA40428	0.0008	0.0	-0.8254	0.305	-0.05	0.5037
AA40597	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
GT68860	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
GT72363	0.0008	0.0	-0.886	0.305	-0.05	0.5037
GT72546	0.0039	0.0	-2.281	0.305	-0.05	0.5037
GT73501	0.0013	0.0	-1.2041	0.305	-0.05	0.5037
GT74176	0.0013	0.0	-1.2041	0.305	-0.05	0.5037
PL51218	0.0023	0.0	-1.7364	0.305	-0.05	0.5037
CE94912	0.0039	0.0	-2.286	0.305	-0.05	0.5037
PL51633	0.0009	0.0	-0.8937	0.305	-0.05	0.5037
GT68558	0.0051	0.0	-2.62	0.305	-0.05	0.5037
CE97308	0.0008	0.0	-0.886	0.305	-0.05	0.5037
GT68892	0.0039	0.0	-2.286	0.305	-0.05	0.5037
GT69619	0.0075	0.0	-3.0808	0.305	-0.05	0.5037
PL66071	0.0017	0.0	-1.4162	0.305	-0.05	0.5037
PL66558	0.0008	0.0	-0.8297	0.305	-0.05	0.5037
GT78305	0.0026	0.0	-1.8512	0.305	-0.05	0.5037
GT85224	0.0014	0.0	-1.2435	0.305	-0.05	0.5037
AA2138805	0.0008	0.0	-0.886	0.305	-0.05	0.5037
AA2139131	0.0018	0.0	-1.4745	0.305	-0.05	0.5037
CE94598	0.0007	0.0	-0.7779	0.305	-0.05	0.5037
GT71912	0.0011	0.0	-1.079	0.305	-0.05	0.5037
PL52085	0.0078	0.0	-3.13	0.305	-0.05	0.5037
PL55652	0.0013	0.0	-1.2041	0.305	-0.05	0.5037
AA2142093	0.0031	0.0	-2.0315	0.305	-0.05	0.5037
AA2142296	0.0039	0.0	-2.286	0.305	-0.05	0.5037
AA2142536	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
AA2142615	0.0008	0.0	-0.8254	0.305	-0.05	0.5037
CE94353	0.001	0.0	-1.0305	0.305	-0.05	0.5037
AA2139160	0.0007	0.0	-0.7242	0.305	-0.05	0.5037
PL15301	0.0009	0.0	-0.8937	0.305	-0.05	0.5037
PL16	0.0023	0.0	-1.7295	0.305	-0.05	0.5037
PL16017	0.0017	0.0	-1.4309	0.305	-0.05	0.5037
GT68243	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
GT68321	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
CE96115	0.0018	0.0	-1.4745	0.305	-0.05	0.5037
CE96367	0.0008	0.0	-0.871	0.305	-0.05	0.5037
CE96542	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
CE98504	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
GH45141	0.0015	0.0	-1.3472	0.305	-0.05	0.5037
GH45493	0.0009	0.0	-0.918	0.305	-0.05	0.5037
GH45503	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
GH45589	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
GH46287	0.0012	0.0	-1.1494	0.305	-0.05	0.5037
GH48128	0.0007	0.0	-0.7242	0.305	-0.05	0.5037
CE99025	0.0021	0.0	-1.6255	0.305	-0.05	0.5037
CE98875	0.0008	0.0	-0.886	0.305	-0.05	0.5037
GH45124	0.0007	0.0	-0.7779	0.305	-0.05	0.5037
AA11481	0.0007	0.0	-0.7779	0.305	-0.05	0.5037
GT83541	0.0057	0.0	-2.7478	0.305	-0.05	0.5037
GT80257	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
GT78969	0.0023	0.0	-1.7364	0.305	-0.05	0.5037
AA01933	0.0011	0.0	-1.0831	0.305	-0.05	0.5037
AA00039	0.0008	0.0	-0.871	0.305	-0.05	0.5037
PL94077	0.0013	0.0	-1.2299	0.305	-0.05	0.5037
CE99384	0.0009	0.0	-0.8937	0.305	-0.05	0.5037
CE99297	0.007	0.0	-2.9993	0.305	-0.05	0.5037
AA2140075	0.0033	0.0	-2.0908	0.305	-0.05	0.5037
AA2140271	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
AA2140400	0.0039	0.0	-2.286	0.305	-0.05	0.5037
GT72311	0.0013	0.0	-1.2299	0.305	-0.05	0.5037
CE94945	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
CE95423	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
CE95426	0.0011	0.0	-1.0831	0.305	-0.05	0.5037
CE95615	0.0016	0.0	-1.3532	0.305	-0.05	0.5037
GT70561	0.0017	0.0	-1.421	0.305	-0.05	0.5037
CE01586	0.0021	0.0	-1.6525	0.305	-0.05	0.5037
GH49565	0.0006	0.0	-0.6381	0.305	-0.05	0.5037
GH49567	0.0023	0.0	-1.7364	0.305	-0.05	0.5037
CE02206	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
CE02478	0.0021	0.0	-1.623	0.305	-0.05	0.5037
GH46776	0.007	0.0	-3.004	0.305	-0.05	0.5037
GH47450	0.0015	0.0	-1.3472	0.305	-0.05	0.5037
AA2616173	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
AA2626385	0.0012	0.0	-1.1687	0.305	-0.05	0.5037
AA2626874	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
CE85678	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
CE85883	0.0027	0.0	-1.8752	0.305	-0.05	0.5037
CE86338	0.0037	0.0	-2.2186	0.305	-0.05	0.5037
CE86952	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
AA2615672	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
AA2616005	0.0028	0.0	-1.9189	0.305	-0.05	0.5037
AA2626368	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
AA2616862	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
AA2617067	0.001	0.0	-1.0305	0.305	-0.05	0.5037
AA2617712	0.0013	0.0	-1.2299	0.305	-0.05	0.5037
AA2617901	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
AA2619112	0.0027	0.0	-1.884	0.305	-0.05	0.5037
AA2620115	0.0039	0.0	-2.286	0.305	-0.05	0.5037
AA2620299	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
AA2620627	0.009	0.0	-3.3173	0.305	-0.05	0.5037
GT99742	0.0021	0.0	-1.6525	0.305	-0.05	0.5037
AA2630716	0.0031	0.0	-2.0315	0.305	-0.05	0.5037
PL50582	0.0009	0.0	-0.8937	0.305	-0.05	0.5037
PL50600	0.0015	0.0	-1.3472	0.305	-0.05	0.5037
PL50644	0.0017	0.0	-1.4309	0.305	-0.05	0.5037
AA2631330	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
AA2631355	0.0014	0.0	-1.2435	0.305	-0.05	0.5037
AA2631689	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
GT99136	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
AA2621507	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
AA2624301	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
AA2625281	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
AA2625714	0.0014	0.0	-1.2805	0.305	-0.05	0.5037
GH13471	0.0045	0.0	-2.4463	0.305	-0.05	0.5037
GT62072	0.0033	0.0	-2.1138	0.305	-0.05	0.5037
GT62319	0.0056	0.0	-2.7189	0.305	-0.05	0.5037
AA2626366	0.0011	0.0	-1.079	0.305	-0.05	0.5037
PL50775	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
GT64552	0.0018	0.0	-1.4994	0.305	-0.05	0.5037
GT68382	0.0025	0.0	-1.8254	0.305	-0.05	0.5037
AA21848	0.0007	0.0	-0.7242	0.305	-0.05	0.5037
AA22229	0.0018	0.0	-1.4822	0.305	-0.05	0.5037
AA22303	0.0023	0.0	-1.7295	0.305	-0.05	0.5037
AA22967	0.0029	0.0	-1.948	0.305	-0.05	0.5037
AA25647	0.0013	0.0	-1.2299	0.305	-0.05	0.5037
GT65550	0.0039	0.0	-2.291	0.305	-0.05	0.5037
GT62861	0.0008	0.0	-0.8254	0.305	-0.05	0.5037
PL50872	0.0011	0.0	-1.0831	0.305	-0.05	0.5037
PL50960	0.0033	0.0	-2.0908	0.305	-0.05	0.5037
PL13804	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
PL13863	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
PL14064	0.0039	0.0	-2.291	0.305	-0.05	0.5037
PL14172	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
AA25890	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
AA2613718	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
AA2614806	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
AA2622483	0.0013	0.0	-1.2299	0.305	-0.05	0.5037
AA2622499	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
AA2622852	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
AA2623362	0.0009	0.0	-0.918	0.305	-0.05	0.5037
AA2613823	0.0027	0.0	-1.9013	0.305	-0.05	0.5037
AA2613828	0.0013	0.0	-1.2299	0.305	-0.05	0.5037
AA2614201	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
AA2614427	0.0017	0.0	-1.4137	0.305	-0.05	0.5037
AA66457	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
AA2615179	0.0027	0.0	-1.9013	0.305	-0.05	0.5037
AA2615209	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
CE88839	0.0007	0.0	-0.7779	0.305	-0.05	0.5037
CE88986	0.0014	0.0	-1.2435	0.305	-0.05	0.5037
CE89826	0.0041	0.0	-2.3514	0.305	-0.05	0.5037
CE92747	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
CE93505	0.0045	0.0	-2.4552	0.305	-0.05	0.5037
CE08443	0.0042	0.0	-2.3896	0.305	-0.05	0.5037
GH39647	0.0006	0.0	-0.6862	0.305	-0.05	0.5037
GH69062	0.0017	0.0	-1.421	0.305	-0.05	0.5037
PL42927	0.0009	0.0	-0.8937	0.305	-0.05	0.5037
PL43546	0.0011	0.0	-1.079	0.305	-0.05	0.5037
PL44165	0.0062	0.0	-2.8433	0.305	-0.05	0.5037
GH42559	0.0007	0.0	-0.7779	0.305	-0.05	0.5037
CE08188	0.0014	0.0	-1.2805	0.305	-0.05	0.5037
CE08239	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
PL23925	0.001	0.0	-1.0305	0.305	-0.05	0.5037
CE08472	0.0017	0.0	-1.4137	0.305	-0.05	0.5037
PL44246	0.0006	0.0	-0.6409	0.305	-0.05	0.5037
AA96587	0.0015	0.0	-1.3472	0.305	-0.05	0.5037
AA91546	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
AA92031	0.0042	0.0	-2.3705	0.305	-0.05	0.5037
PL05081	0.0044	0.0	-2.4456	0.305	-0.05	0.5037
PL05315	0.0023	0.0	-1.7364	0.305	-0.05	0.5037
PL05824	0.0018	0.0	-1.4745	0.305	-0.05	0.5037
CE06460	0.0007	0.0	-0.7242	0.305	-0.05	0.5037
CE06316	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
AA98042	0.0045	0.0	-2.4552	0.305	-0.05	0.5037
GH62015	0.0014	0.0	-1.2435	0.305	-0.05	0.5037
GH62483	0.0013	0.0	-1.2299	0.305	-0.05	0.5037
GH68327	0.0027	0.0	-1.9013	0.305	-0.05	0.5037
PL38447	0.0006	0.0	-0.6409	0.305	-0.05	0.5037
PL39090	0.0008	0.0	-0.8254	0.305	-0.05	0.5037
CE06447	0.0016	0.0	-1.3532	0.305	-0.05	0.5037
PL06190	0.0021	0.0	-1.623	0.305	-0.05	0.5037
CE06611	0.0007	0.0	-0.7242	0.305	-0.05	0.5037
CE06729	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
CE07173	0.0021	0.0	-1.6255	0.305	-0.05	0.5037
CE07569	0.0015	0.0	-1.3472	0.305	-0.05	0.5037
CE07808	0.0009	0.0	-0.918	0.305	-0.05	0.5037
GH40947	0.0008	0.0	-0.886	0.305	-0.05	0.5037
GH41802	0.0014	0.0	-1.2435	0.305	-0.05	0.5037
AA81355	0.0023	0.0	-1.7364	0.305	-0.05	0.5037
CE09845	0.0018	0.0	-1.4822	0.305	-0.05	0.5037
CE10761	0.0018	0.0	-1.4822	0.305	-0.05	0.5037
CE11451	0.001	0.0	-1.0305	0.305	-0.05	0.5037
AA8782363	0.0006	0.0	-0.6409	0.305	-0.05	0.5037
AA91103	0.0009	0.0	-0.918	0.305	-0.05	0.5037
AA91321	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
AA7388875	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
AA81292	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
GH40074	0.0012	0.0	-1.1494	0.305	-0.05	0.5037
AA82162	0.0007	0.0	-0.7779	0.305	-0.05	0.5037
PL46272	0.0009	0.0	-0.8937	0.305	-0.05	0.5037
PL46814	0.0025	0.0	-1.8058	0.305	-0.05	0.5037
PL46951	0.0013	0.0	-1.2041	0.305	-0.05	0.5037
PL47232	0.0006	0.0	-0.6381	0.305	-0.05	0.5037
AA83076	0.0021	0.0	-1.623	0.305	-0.05	0.5037
GH38768	0.0023	0.0	-1.7364	0.305	-0.05	0.5037
GH38828	0.0023	0.0	-1.7364	0.305	-0.05	0.5037
GH75966	0.0015	0.0	-1.3472	0.305	-0.05	0.5037
AA92563	0.0008	0.0	-0.8297	0.305	-0.05	0.5037
AA93735	0.0012	0.0	-1.1494	0.305	-0.05	0.5037
PL41209	0.0018	0.0	-1.4822	0.305	-0.05	0.5037
PL41321	0.0008	0.0	-0.8254	0.305	-0.05	0.5037
PL41337	0.0013	0.0	-1.2299	0.305	-0.05	0.5037
PL23446	0.0009	0.0	-0.8937	0.305	-0.05	0.5037
PL23457	0.0011	0.0	-1.0831	0.305	-0.05	0.5037
CE12754	0.0007	0.0	-0.7242	0.305	-0.05	0.5037
CE06158	0.001	0.0	-1.0305	0.305	-0.05	0.5037
GH76094	0.0023	0.0	-1.7295	0.305	-0.05	0.5037
AA83164	0.0006	0.0	-0.6409	0.305	-0.05	0.5037
AA83212	0.0034	0.0	-2.1478	0.305	-0.05	0.5037
AA83233	0.001	0.0	-1.0305	0.305	-0.05	0.5037
AA83339	0.0006	0.0	-0.6409	0.305	-0.05	0.5037
AA83762	0.0014	0.0	-1.2435	0.305	-0.05	0.5037
GH39788	0.0015	0.0	-1.3472	0.305	-0.05	0.5037
PL93948	0.0018	0.0	-1.4822	0.305	-0.05	0.5037
AA00077	0.0007	0.0	-0.7779	0.305	-0.05	0.5037
GT84602	0.0029	0.0	-1.948	0.305	-0.05	0.5037
AA04707	0.0013	0.0	-1.2299	0.305	-0.05	0.5037
AA06154	0.0007	0.0	-0.7779	0.305	-0.05	0.5037
AA09626	0.0025	0.0	-1.8058	0.305	-0.05	0.5037
AA03152	0.0008	0.0	-0.8297	0.305	-0.05	0.5037
AA03885	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
PL90084	0.0039	0.0	-2.286	0.305	-0.05	0.5037
CE03811	0.0008	0.0	-0.8254	0.305	-0.05	0.5037
CE99221	0.0006	0.0	-0.6409	0.305	-0.05	0.5037
PL09619	0.0022	0.0	-1.6947	0.305	-0.05	0.5037
PL10008	0.0007	0.0	-0.7242	0.305	-0.05	0.5037
PL10013	0.0023	0.0	-1.7295	0.305	-0.05	0.5037
GH44090	0.0023	0.0	-1.7295	0.305	-0.05	0.5037
PL06448	0.0056	0.0	-2.7189	0.305	-0.05	0.5037
PL06757	0.0033	0.0	-2.1169	0.305	-0.05	0.5037
PL07031	0.0056	0.0	-2.7189	0.305	-0.05	0.5037
PL56427	0.0017	0.0	-1.4162	0.305	-0.05	0.5037
CE99772	0.0011	0.0	-1.0831	0.305	-0.05	0.5037
PL99364	0.0017	0.0	-1.4162	0.305	-0.05	0.5037
AA13641	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
AA16051	0.0015	0.0	-1.3472	0.305	-0.05	0.5037
AA19800	0.003	0.0	-2.0163	0.305	-0.05	0.5037
AA19924	0.0105	0.0	-3.5277	0.305	-0.05	0.5037
AA20344	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
AA2101070	0.0036	0.0	-2.1977	0.305	-0.05	0.5037
PL07995	0.0046	0.0	-2.4794	0.305	-0.05	0.5037
CE97385	0.0039	0.0	-2.2889	0.305	-0.05	0.5037
GH09756	0.0006	0.0	-0.6381	0.305	-0.05	0.5037
GT87953	0.0014	0.0	-1.2435	0.305	-0.05	0.5037
CE05197	0.0014	0.0	-1.2805	0.305	-0.05	0.5037
PL65181	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
GH48391	0.0017	0.0	-1.4309	0.305	-0.05	0.5037
CE03461	0.0036	0.0	-2.1931	0.305	-0.05	0.5037
GH51206	0.0017	0.0	-1.4414	0.305	-0.05	0.5037
CE00755	0.0027	0.0	-1.9013	0.305	-0.05	0.5037
CE00936	0.0026	0.0	-1.8374	0.305	-0.05	0.5037
CE01117	0.0036	0.0	-2.1884	0.305	-0.05	0.5037
PL08885	0.0056	0.0	-2.7189	0.305	-0.05	0.5037
GH42504	0.001	0.0	-1.0305	0.305	-0.05	0.5037
CBM78	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
CBM82	0.005	0.0	-2.5786	0.305	-0.05	0.5037
CBM83	0.005	0.0	-2.5786	0.305	-0.05	0.5037
CE00733	0.0028	0.0	-1.9189	0.305	-0.05	0.5037
GH51215	0.0009	0.0	-0.8937	0.305	-0.05	0.5037
GH59721	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
CBM86	0.0009	0.0	-0.8937	0.305	-0.05	0.5037
PL24959	0.0039	0.0	-2.281	0.305	-0.05	0.5037
PL25004	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
PL26188	0.0008	0.0	-0.8735	0.305	-0.05	0.5037
CE05611	0.0008	0.0	-0.8297	0.305	-0.05	0.5037
CE06414	0.0023	0.0	-1.7295	0.305	-0.05	0.5037
GH50286	0.0023	0.0	-1.7295	0.305	-0.05	0.5037
GH50636	0.0027	0.0	-1.8752	0.305	-0.05	0.5037
PL35273	0.0013	0.0	-1.2299	0.305	-0.05	0.5037
CE04547	0.0013	0.0	-1.2041	0.305	-0.05	0.5037
CE04837	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
CE04870	0.0015	0.0	-1.3472	0.305	-0.05	0.5037
CE05104	0.0007	0.0	-0.7242	0.305	-0.05	0.5037
CE06388	0.0078	0.0	-3.13	0.305	-0.05	0.5037
GH77340	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
CE00155	0.0014	0.0	-1.2805	0.305	-0.05	0.5037
CE00395	0.0033	0.0	-2.1169	0.305	-0.05	0.5037
CE00404	0.0039	0.0	-2.286	0.305	-0.05	0.5037
CE00420	0.0012	0.0	-1.1687	0.305	-0.05	0.5037
CE00526	0.0009	0.0	-0.9236	0.305	-0.05	0.5037
CE00640	0.0033	0.0	-2.0908	0.305	-0.05	0.5037
CE00651	0.0046	0.0	-2.4937	0.305	-0.05	0.5037
PL21256	0.0015	0.0	-1.3472	0.305	-0.05	0.5037
AA7400953	0.0004	0.0	-0.5019	0.305	-0.05	0.5037
AA7401363	0.0018	0.0	-1.4822	0.305	-0.05	0.5037
AA7402245	0.0014	0.0	-1.2435	0.305	-0.05	0.5037
AA7403905	0.0007	0.0	-0.7674	0.305	-0.05	0.5037
