feature	pre	drought	log2FC	p	cliffs_delta	q_BH
Anammox	0.5616	0.7857	0.4837	0.0263	0.4294	0.1839
N-assimilation/other	3815.3093	3737.1056	-0.0299	0.1952	-0.2529	0.3723
Assim. nitrate red.	620.0327	627.5103	0.0173	0.2059	0.2471	0.3723
N-fixation	6.7894	4.9325	-0.4609	0.2467	-0.2265	0.3723
Denitrification	757.1028	743.4114	-0.0263	0.2659	-0.2176	0.3723
Nitrification	36.0756	34.855	-0.0497	0.3932	-0.1676	0.4588
DNRA	477.1942	472.7157	-0.0136	0.5523	-0.1176	0.5523
