sample	coverage	breadth	nucl_diversity	SNV_count	SNS_count	divergent_sites	condition
SRR24887495	1.5811235239880508	0.6764073392341835	0.0242908520963526	6678	1021	7699	pre-drought
SRR24887496	1.9271708082840624	0.7301277978347499	0.0221633442152806	9817	1713	11530	pre-drought
SRR24887501	3.880394645221068	0.9086923744508156	0.0166822411381736	27829	3962	31791	pre-drought
SRR24887502	1.5842349566126126	0.6729488752233133	0.0238744696687978	7124	1108	8232	drought
SRR24887504	4.770755298294637	0.921658934167864	0.0161030060645479	38804	5170	43974	drought
SRR24887506	6.158527040798477	0.949281503960672	0.0175641583408558	59678	6092	65770	pre-drought
SRR24887507	4.271560241827269	0.9104004460058662	0.0170129967660942	34447	5150	39597	drought
SRR24887508	1.6371013794356537	0.723452381086733	0.0175197947277595	4032	893	4925	pre-drought
SRR24887527	7.251269909162419	0.9544395753464388	0.0189473748359337	81204	6776	87980	pre-drought
SRR24887632	5.472284606364838	0.9371565658902568	0.0182728042442219	55957	6726	62683	drought
SRR24887633	6.172659400262051	0.948822463256994	0.0173807436403336	64206	5956	70162	pre-drought
SRR24887636	7.222504392909499	0.95517144479041	0.0173656564974105	76199	5672	81871	drought
SRR24887773	2.146610603699185	0.7646060714128522	0.0216289509445565	11807	1925	13732	pre-drought
SRR24887774	7.453377320737128	0.95698052222863	0.0080272663109512	32419	4662	37081	pre-drought
SRR24887777	6.727200037919527	0.9514223772609236	0.0175819290015958	72355	6560	78915	drought
SRR24888034	6.943270525354734	0.9546542833830086	0.0175291226048368	69671	6150	75821	drought
SRR24888047	1.2113122074920408	0.589481901889995	0.0277644126656963	4360	655	5015	drought
SRR24888113	6.282671171115251	0.950100554460228	0.0189501129188303	68148	6685	74833	drought
SRR24888123	7.419461915139259	0.9557405198360884	0.0186023601662495	80927	6231	87158	pre-drought
SRR24888217	10.510984248725013	0.969887832684601	0.0187774489107785	110067	5591	115658	drought
SRR24888308	11.825827486465776	0.9982174436595956	0.0119422486508894	72591	608	73199	pre-drought
SRR24888309	2.2175779579206103	0.7921502064695679	0.0189496469964518	9868	1566	11434	drought
SRR24888310	9.238385169853524	0.9915857585090404	0.0119613572462452	58714	3350	62064	pre-drought
SRR24888329	14.585826786760215	0.9965457680792068	0.01272050247931	91946	2600	94546	pre-drought
SRR24888352	2.8616868321056512	0.8623109243223295	0.0183371519465875	16718	2286	19004	drought
SRR24888482	3.150868086316581	0.8755782445741784	0.0184940274486787	21332	2899	24231	drought
SRR24888489	3.5206119715106983	0.9052657921851918	0.0183102665011752	25148	3042	28190	pre-drought
SRR24888615	2.7784986124387334	0.8502607531766068	0.0184838378306159	16986	2249	19235	pre-drought
SRR24888635	7.5413785553788735	0.98752182347783	0.0132039819255606	53861	3666	57527	drought
SRR24888648	10.095495984028656	0.9941766440541392	0.0122375177396746	66362	3416	69778	drought
