feature	pre	drought	log2FC	p	cliffs_delta	q_BH
PL	945.6725	914.7395	-0.048	0.0271	-0.4294	0.1628
GH	20701.9733	20482.6158	-0.0154	0.0698	-0.3529	0.1934
CE	2559.8806	2538.5532	-0.0121	0.0967	-0.3235	0.1934
AA	1547.216	1519.1419	-0.0264	0.175	-0.2647	0.2626
GT	19654.8235	19486.9025	-0.0124	0.2287	-0.2353	0.2744
CBM	10282.8781	10343.6103	0.0085	0.5938	0.1059	0.5938
