	mean_pct_classified
Bradyrhizobium	3.474
Nitrospira	3.234
Luteitalea	2.85
Mesorhizobium	1.898
Acidobacterium	1.584
Sphingomonas	1.429
Pseudolabrys	1.312
Reyranella	1.178
Pseudomonas	1.141
Streptomyces	1.054
Mycobacterium	0.996
Rugositalea	0.98
Variovorax	0.848
Ramlibacter	0.729
Candidatus Entotheonella	0.713
Mycolicibacterium	0.687
Anatilimnocola	0.686
Nocardioides	0.651
Pseudorhodoplanes	0.605
Candidatus Sulfopaludibacter	0.576
