FeatureID	Covariate	Log2(FC)	SE	W	pvalue	qvalue	Signif
AR31	Intercept	6.14421029915801	0.24488108478260187	25.090587558498676	6.300755656781144e-139	5.733687647670841e-137	True
AR31	condition[T.pre-drought]	-0.2833627163803691	0.3352593244940558	-0.8452045794937857	0.3979966259058536	1.0	False
AWTP1-13	Intercept	2.5513235496455433	0.2602730022039421	9.80249018546458	1.0984368162957539e-22	9.117025575254757e-21	True
AWTP1-13	condition[T.pre-drought]	0.2737279282737474	0.37852818519497977	0.7231375072710906	0.4695954078847101	1.0	False
Acinetobacter	Intercept	-0.16892040054338153	0.13227543258291247	-1.2770353288204095	0.20158977483066587	1.0	False
Acinetobacter	condition[T.pre-drought]	0.15177401041029331	0.24621193534950198	0.6164364460839299	0.5376065052324	1.0	False
Aeromonas	Intercept	-0.16892040054338153	0.13227543258291244	-1.2770353288204097	0.20158977483066565	1.0	False
Aeromonas	condition[T.pre-drought]	0.16883703809799305	0.2573051865914074	0.6561742510309402	0.5117120142283555	1.0	False
Agromyces	Intercept	1.9919071464850377	0.3827457903792754	5.2042561840097346	1.947751589671632e-07	1.3244710809767097e-05	True
Agromyces	condition[T.pre-drought]	-0.6302798637938696	0.5795740726782079	-1.087488025268885	0.2768211878691935	1.0	False
Aquipseudomonas	Intercept	0.14376190395351074	0.22345996406264346	0.643345238850971	0.5200001080408343	1.0	False
Aquipseudomonas	condition[T.pre-drought]	0.24761743901384342	0.37380389466601943	0.6624260542685915	0.50769821062518	1.0	False
Arthrobacter	Intercept	0.1135884329923389	0.19869550710233436	0.5716708678965615	0.5675449742497904	1.0	False
Arthrobacter	condition[T.pre-drought]	-0.3253646409771264	0.24042344464390858	-1.3532983085698	0.1759603493474865	1.0	False
Azotobacter	Intercept	-0.16892040054338153	0.13227543258291252	-1.277035328820409	0.2015897748306661	1.0	False
Azotobacter	condition[T.pre-drought]	0.4477088473792485	0.3425822375674434	1.3068653254128773	0.19125845424580346	1.0	False
Bacillus	Intercept	0.015570512282765847	0.2123941768325447	0.07330950647974645	0.9415598269804161	1.0	False
Bacillus	condition[T.pre-drought]	-0.052989923491503825	0.28237430971345695	-0.1876584436639298	0.8511444085855446	1.0	False
