sample	Acidimicrobiia	Actinomycetes	Alphaproteobacteria	B15-G4	Bacilli	Bacteroidia	Binatia	Blastocatellia	Brocadiia	Chlamydiia	Dehalococcoidia	Eurotiomycetes	Gammaproteobacteria	Gemmatimonadetes	MHYJ01	Methylomirabilia	Nitrososphaeria	Nitrospiria	Planctomycetia	Terriglobia	Thermoanaerobaculia	Thermoleophilia	UBA1135	UBA4738	UBA9160	Verrucomicrobiia	Vicinamibacteria	Zhuqueibacteria
SRR24888217	1.7193	0.8082	15.9108	0.0	0.0	0.0	1.1097000000000001	1.0043	0.1856	0.6263	0.0	0.0	27.3859	0.0	0.0	4.0638	22.402300000000004	6.317	0.0	0.0	4.7358	0.6549	0.0	3.5913	0.0	0.0	9.4845	0.0
SRR24888308	0.7372	0.2515	18.4353	0.0	0.0	0.1586	1.7382999999999997	0.4655	0.5788	0.3707	0.0	0.0	38.80699999999999	0.0	0.6125	6.094899999999999	8.7932	10.768399999999998	0.0	0.0	0.0	0.0	0.0	1.0267	0.0	0.0	11.161100000000001	0.0
SRR24888309	1.6988	0.9943	20.6742	0.0	0.0	0.0	0.4116	1.0489000000000002	0.0	0.6879	0.0	0.0	29.7101	1.5036	0.0	7.8162	8.497499999999999	4.8091	0.0	0.0	1.517	0.7473	0.0	3.1127	0.0	0.0	16.770500000000002	0.0
SRR24888310	1.4231	0.0	22.807	0.0	0.0	0.2614	1.6936	0.4213	0.6815	0.5183	0.0	0.0	27.05530000000001	1.9055	0.5271	5.460399999999999	19.4164	9.8587	0.0	0.0	1.3501	0.0	0.0	1.3105	0.0	0.0	5.3097	0.0
SRR24888329	0.849	0.0	22.1307	0.0	0.0	0.0	1.6391	0.8978	0.4378	0.4051	0.0	0.0	35.9385	0.0	0.5627	4.0139000000000005	10.0159	12.3266	0.0	0.0	1.029	0.0	0.0	0.9032	0.0	0.0	8.8507	0.0
SRR24888330	0.0	0.0	24.641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.2299	0.0	0.0	12.0576	13.5866	10.4848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR24888352	1.4806	0.1815	20.2098	0.0	0.7632	0.1099	0.5241	0.86	0.1117	1.2485	0.0	0.0	26.658	0.0	0.0	7.6404	14.5892	3.2816	0.4958	0.0	0.0	0.0	1.316	2.2665	0.4392	0.0	17.528	0.2962
SRR24888482	0.9049	0.0	15.592000000000002	0.0	0.0	0.322	0.8457	0.4024	0.0	0.2416	0.0	0.0	37.81880000000001	1.7461	0.0	8.7812	9.6385	3.364	0.5064	0.0	1.6913	0.0	1.1538	1.0098	0.5023	0.0	15.2051	0.2741
SRR24888489	0.8363	0.0	21.2319	0.0	0.0	0.2674	0.8181	0.271	0.0725	0.3488	0.0	0.0	29.965000000000003	1.609	0.0	6.546399999999999	17.970399999999998	3.5332999999999997	0.0	0.0	2.1635	0.0	0.6542	1.1416	0.0	0.0	12.296300000000002	0.2741
SRR24888613	0.0	0.0	31.6632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.976	0.0	0.0	20.751	4.3527	4.2571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR24888615	0.607	0.0	21.886300000000002	0.0	0.0	0.1459	0.0	0.4279	0.0943	0.3845	0.0	0.0	40.3447	0.0	0.0	7.273	6.8767	4.0226999999999995	0.0	0.0	1.643	0.0	1.1794	1.0814	0.6001	0.0	12.9716	0.4613
SRR24888635	1.692	0.0	15.6219	0.0	0.0	0.0	1.5342	0.6839	0.4034	0.7721	0.0	0.0	42.6364	0.0	0.0	4.033799999999999	12.9351	5.6498	0.0	1.9267	0.0	0.0	0.0	1.7218	0.0	0.0	10.389	0.0
SRR24888648	2.2332	2.6299	21.6553	0.0	0.7382	0.0	1.2668	0.5814	0.4019	0.8265	0.0	0.0	38.86070000000001	0.0	0.0	2.9372000000000003	10.4881	5.6102	0.0	1.1412	0.0	0.4346	0.0	2.4192	0.0	0.0	7.7754	0.0
