species	pre	drought	log2FC	p	q_BH	cliffs_delta	cliffs_mag
Nitrospira_D sp029194675	0.7102777777777778	0.2496285714285714	-1.5048622006353816	0.0012554247635809	0.21718848409949573	-0.5873015873015873	large
JAREAF01 sp035456545	0.5672944444444444	0.2838	-0.9966894655979956	0.0066091917836592	0.5716950892865208	-0.5052910052910053	large
JARDZU01 sp032155085	0.9026666666666668	1.4378666666666668	0.6710702977258624	0.0289313328051552	0.6741850066077485	0.4126984126984127	medium
DASSJM01 sp036280655	1.1051777777777776	1.8705047619047623	0.7586154541987429	0.0329226638062539	0.6741850066077485	0.4021164021164021	medium
DATFRX01 sp032154865	0.0564333333333333	0.1624142857142857	1.5085739088858754	0.0475850491290621	0.6741850066077485	0.3148148148148148	small
Methyloceanibacter sp035715445	3.2348833333333333	5.363480952380952	0.7292789941010699	0.0572238508776777	0.6741850066077485	0.35978835978835977	medium
JAIBJN01 sp035698025	0.0	0.0818666666666666	6.372719985443967	0.0575522272497325	0.6741850066077485	0.19047619047619047	small
DASSJM01 sp035250725	0.0630555555555555	0.2140857142857143	1.7475160995741108	0.0587130769808966	0.6741850066077485	0.2751322751322751	small
Nitrospira_C japonica_A	0.0515111111111111	0.0	-5.714550817644172	0.0587859820158254	0.6741850066077485	-0.16666666666666666	small
CAYXGZ01 sp964464755	0.0945722222222222	0.0	-6.578519459060942	0.0587859820158254	0.6741850066077485	-0.16666666666666666	small
Geopseudomonas oryzagri	0.3238611111111111	0.060547619047619	-2.400048097373941	0.0626320141018386	0.6741850066077485	-0.2222222222222222	small
Methyloceanibacter sp035275445	0.1387555555555555	0.3804238095238095	1.4484892693097096	0.0759663748615225	0.6741850066077485	0.2751322751322751	small
Palsa-1315 sp035275205	0.8715222222222222	0.6041333333333332	-0.5279388190367793	0.1042714122899953	0.6741850066077485	-0.30687830687830686	small
Nitrososphaera sp035281285	0.0	0.0183142857142857	4.271596419337217	0.1062097982165016	0.6741850066077485	0.14285714285714285	negligible
Reyranella sp035296945	0.0	0.1277285714285714	7.008188486406993	0.1062097982165016	0.6741850066077485	0.14285714285714285	negligible
TH1177 sp032155045	1.7554722222222223	2.4649380952380957	0.4894558216649566	0.1179267227411438	0.6741850066077485	0.2962962962962963	small
Pseudolabrys sp035703125	4.844683333333333	3.773014285714286	-0.3606002434149101	0.1212548732360603	0.6741850066077485	-0.29365079365079366	small
Bradyrhizobium sp023387735	0.1881722222222222	0.0562571428571428	-1.7241726744831305	0.1296173971954637	0.6741850066077485	-0.1931216931216931	small
Azotobacter chroococcum	0.1333777777777777	0.0	-7.070150767321877	0.1308779942875126	0.6741850066077485	-0.1111111111111111	negligible
DASRDR01 sp035550795	0.0603944444444444	0.0	-5.940036207566301	0.1308779942875126	0.6741850066077485	-0.1111111111111111	negligible
Ramlibacter sp035559095	0.0869833333333333	0.0	-6.45915835506211	0.1308779942875126	0.6741850066077485	-0.1111111111111111	negligible
TH1177 sp035297365	0.0216888888888888	0.0	-4.503914054548127	0.1308779942875126	0.6741850066077485	-0.1111111111111111	negligible
Ensifer adhaerens_I	0.0384333333333333	0.0	-5.30134376273127	0.1308779942875126	0.6741850066077485	-0.1111111111111111	negligible
JAEUMW01 sp039807745	0.3458555555555556	0.1626714285714285	-1.0835324936652817	0.1338939663507262	0.6741850066077485	-0.2328042328042328	small
JAJVID01 sp035275805	0.2165166666666667	0.0602523809523809	-1.8282881184922932	0.1406130232924109	0.6741850066077485	-0.18783068783068782	small
DASRDR01 sp963765195	0.6881999999999999	0.3607666666666667	-0.9298632180098348	0.1478012120490629	0.6741850066077485	-0.24074074074074073	small
SCGC-AG-212-J23 sp036376975	3.6844	2.545352380952381	-0.5333891300634664	0.1548091241820322	0.6741850066077485	-0.2698412698412698	small
DASSJM01 sp036277855	0.0275	0.1914619047619047	2.755539087651292	0.1904635005032702	0.6741850066077485	0.1455026455026455	negligible
SG8-41 sp036555615	0.0813166666666666	0.2081333333333333	1.3451665604651588	0.1944729270100578	0.6741850066077485	0.1746031746031746	small
JBGPEQ01 sp050180895	1.0357277777777778	0.8155571428571426	-0.3444113688955479	0.1961298276612548	0.6741850066077485	-0.24338624338624337	small
GMQP-bins7 sp035457765	0.0	0.0489333333333333	5.641931312850232	0.1971971808595694	0.6741850066077485	0.09523809523809523	negligible
JAOUEA01 sp035249905	0.0	0.0275666666666666	4.836260798503981	0.1971971808595694	0.6741850066077485	0.09523809523809523	negligible
PNKE01 sp050789245	0.0	0.1460904761904762	7.200560027818333	0.1971971808595694	0.6741850066077485	0.09523809523809523	negligible
Neobacillus sp013396335	0.0	0.0107333333333333	3.5525410230287786	0.1971971808595694	0.6741850066077485	0.09523809523809523	negligible
DATADW01 sp036258335	0.0	0.0255428571428571	4.730251769437686	0.1971971808595694	0.6741850066077485	0.09523809523809523	negligible
