pathway	pre	drought	log2FC	p	cliffs_delta	q_BH
Ectoine	16.1345	20.103	0.3172	0.7795	-0.0522	0.7795
Glucosylglycerol	5.3771	4.7968	-0.1647	0.1474	-0.2609	0.1769
Glycine-betaine	112.8489	90.0719	-0.3252	0.0331	-0.3826	0.0663
Mannitol	0.2518	1.3176	2.3829	0.0002	0.6609	0.0014
Solute transport	33.3755	29.5036	-0.1779	0.05	-0.3522	0.075
Trehalose	51.1677	78.3326	0.6144	0.0144	0.4391	0.0432
