feature	pre	drought	log2FC	p	cliffs_delta	q_BH
GT11181	0.0353	0.03	-0.2275	0.8486	-0.0265	0.9708
GT08449	0.0353	0.03	-0.2275	0.8486	-0.0265	0.9708
PL14463	0.0353	0.03	-0.2275	0.8486	-0.0265	0.9708
GH192	6.1219	6.0192	-0.0244	0.8546	0.0382	0.9708
AA41986	0.1702	0.17	-0.002	0.8548	0.0353	0.9708
GT116	34.494	34.603	0.0046	0.8548	0.0382	0.9708
GT34	68.472	68.5977	0.0026	0.8548	0.0382	0.9708
GH78	240.4317	237.8508	-0.0156	0.8549	-0.0382	0.9708
GH71	194.2776	196.0495	0.0131	0.8549	0.0382	0.9708
GH0	1906.8586	1909.5077	0.002	0.8549	0.0382	0.9708
PL51908	0.0471	0.05	0.0858	0.8549	0.0294	0.9708
PL20303	0.0471	0.03	-0.6325	0.8573	0.0235	0.9708
GT77690	0.0471	0.03	-0.6325	0.8573	0.0235	0.9708
PL47856	0.0941	0.1181	0.3245	0.8575	0.0324	0.9708
GH37059	0.0471	0.0681	0.5239	0.8584	0.0265	0.9708
CE04806	0.0588	0.06	0.0282	0.8592	-0.0294	0.9708
GH13580	0.0588	0.05	-0.2301	0.8592	-0.0294	0.9708
GH194	0.2706	0.264	-0.0355	0.8598	0.0353	0.9708
AA76833	0.2588	0.2396	-0.1108	0.8627	-0.0353	0.9708
PL22465	0.0353	0.03	-0.2277	0.8653	-0.0206	0.9708
CE42723	0.0353	0.02	-0.7892	0.8653	-0.0206	0.9708
PL16192	0.0353	0.02	-0.7892	0.8653	-0.0206	0.9708
PL44	6.6475	6.6409	-0.0014	0.8666	0.0353	0.9708
GH120	6.2073	6.051	-0.0368	0.8668	-0.0353	0.9708
GH152	45.8883	44.5657	-0.0422	0.8668	-0.0353	0.9708
PL10488	0.0353	0.0481	0.4361	0.8678	-0.0235	0.9708
PL20099	0.0471	0.0481	0.0311	0.8678	-0.0235	0.9708
CBM94	0.0471	0.04	-0.229	0.8678	-0.0235	0.9708
AA2618757	0.0471	0.04	-0.229	0.8678	-0.0235	0.9708
PL14521	0.0471	0.044	-0.0953	0.8678	-0.0235	0.9708
CE00559	0.0557	0.04	-0.4677	0.8679	-0.0235	0.9708
GT51246	0.0471	0.05	0.0858	0.8702	0.0265	0.9708
AA7601979	0.0471	0.05	0.0858	0.8702	0.0265	0.9708
AA2141116	0.1734	0.1958	0.1749	0.8705	-0.0324	0.9708
PL27	0.0588	0.07	0.2472	0.8709	0.0265	0.9708
GT50168	0.0353	0.04	0.1759	0.8751	0.0235	0.9708
PL15671	0.0353	0.04	0.1759	0.8751	0.0235	0.9708
GH50285	0.0353	0.04	0.1759	0.8751	0.0235	0.9708
AA2139139	0.0353	0.04	0.1759	0.8751	0.0235	0.9708
