	AI5_BETA	ATPsynB	ATPsynbeta	Actbeta	B''BETA	B'BETA	B'ETA	BETA	BETA-OHASE	BETA-TT1	CTF1-BETA	E1-BETA-2	GGPS	GGPS1	HDG1	Hr39	Itgbn	Krt6b	OSCPNY1	Octbeta1R	Octbeta3R	PDH-E1	PFP-BETA	PLA2-BETA	PYD3	PolG2	THRB	Taf11	bet	betA	betA1	betB	betB1	betT	betT2	beta'COP	beta-PheRS	beta-Spec	beta-galIII	beta4GalT7	cpb	dj-1beta	ectA	ectB	ectC	ectD	egtUA	flw	gbsA	ggpS	gspD2	gspS2	gtb1	mtlD	ninaB	norpA	opuBA	opuBB	opuBC	opuD	otsA	otsB	proV	proW	proX	tgo	treS	treY	treZ
SRR24887221	0.0	0.0	76.46381985908536	0.0	0.0	0.04872634689124445	0.06090793361405557	2.460680518007845	0.0	3.106304614316834	0.0	0.3776291884071445	2.6434043188500116	2.3266830640569225	0.0	0.07308952033686668	0.0	0.0	0.2558133211790334	0.0	0.0	7.248044100072613	0.21926856101060005	0.0	0.24363173445622227	0.0	0.07308952033686668	0.0	0.0	10.524890928508801	0.5238082290808779	47.06965109694214	0.5238082290808779	0.14617904067373336	0.04872634689124445	0.5603529892493112	0.04872634689124445	0.49944505563525565	0.14617904067373336	0.012181586722811113	0.17054221411935558	0.2801764946246556	0.012181586722811113	9.720906204803269	0.2679949079018445	6.01770384106869	11.669960080453047	0.8648926573195891	11.621233733561802	0.6943504432002334	5.128448010303479	0.0	0.0	0.12181586722811114	0.0	0.03654476016843334	7.089683472676068	0.5968977494177445	0.06090793361405557	0.23145014773341116	5.895887973840579	1.3399745395092224	21.366503111810694	0.8161663104283446	0.07308952033686668	0.012181586722811113	10.195988086992902	1.4374272332917113	4.945724209461312
SRR24887264	0.0	0.0	39.6437624086	0.0	0.0	0.16085628421047585	0.1169863885167097	1.3307201693775728	0.0	1.1552405866025082	0.1169863885167097	0.14623298564588713	0.7896581224877904	0.35095916555012907	0.05849319425835485	0.029246597129177425	0.0	0.0	0.0	0.0	0.0	3.9482906124389525	0.08773979138753227	0.0	0.29246597129177426	0.0	0.0	0.0	0.014623298564588712	6.3903814727252675	0.19010288133965325	24.245429020088086	0.24859607559800811	0.08773979138753227	0.7457882267940243	0.2339727770334194	0.17547958277506454	0.5118154497606049	0.014623298564588712	0.0	0.307089269856363	1.0967473923441535	5.235140886122759	18.27912320573589	9.607507156934783	18.717822162673553	6.799833832533751	1.7255492306214681	8.05743750908838	0.8627746153107341	0.4825688526314275	0.0	0.07311649282294357	0.9358911081336776	0.014623298564588712	0.24859607559800811	3.187879087080339	0.658048435406492	0.0	2.485960755980081	12.064221315785687	2.632193741625968	11.68401555310638	0.965137705262855	0.0	0.0	14.169976309086461	1.93027541052571	7.04842990813176
SRR24887265	0.0	0.0	77.51046297966299	0.0	0.03392142799985251	0.16960713999926255	0.10176428399955753	4.087532073982228	0.0	5.630957047975517	0.0	0.4918607059978614	3.4939070839848085	2.272735675990118	0.0	0.0	0.03392142799985251	0.0	0.28833213799874635	0.0	0.0	8.548199855962833	0.18656785399918882	0.0	0.5766642759974927	0.0	0.0	0.0	0.016960713999926255	13.415924773941668	0.5597035619975664	66.94393815770893	0.7632321299966816	0.016960713999926255	0.06784285599970502	0.8480356999963128	0.03392142799985251	0.864996413996239	0.20352856799911506	0.050882141999778766	0.32225356599859883	0.28833213799874635	0.06784285599970502	11.160149811951475	0.4070571359982301	0.932839269995944	16.248364011929354	1.6960713999926256	18.48717825991962	0.5427428479976402	7.276146305968363	0.0	0.0	0.08480356999963128	0.0	0.03392142799985251	9.260549843959735	0.8480356999963128	0.050882141999778766	0.0	9.396235555959146	1.5095035459934367	26.18734241588614	0.864996413996239	0.16960713999926255	0.03392142799985251	9.718489121957745	2.442342815989381	5.800564187974779
SRR24887267	0.0	0.0	101.68567843469854	0.0	0.0	0.12862559464684284	0.07145866369269047	2.5296366947212428	0.0	2.5439284274597807	0.014291732738538095	0.5430858440644476	3.6015166501116	3.187056400693995	0.0	0.0	0.014291732738538095	0.04287519821561428	0.1857925256009952	0.0	0.0	12.605308275390598	0.2572511892936857	0.0	0.35729331846345236	0.0	0.0	0.0	0.014291732738538095	9.575460934820523	0.4287519821561428	68.00006436996425	1.3291311446840428	0.08575039643122856	0.08575039643122856	0.5573775768029857	0.17150079286245712	0.8289204988352095	0.11433386190830476	0.014291732738538095	0.41446024941760473	0.28583465477076186	0.014291732738538095	13.019768524808203	0.12862559464684284	1.0432964899132808	17.521664337447703	1.1004634208674333	15.863823339777284	1.5577988685006523	9.961337718761051	0.0	0.0	0.2715429220322238	0.0	0.10004212916976665	12.619600008129137	0.34300158572491424	0.11433386190830476	0.2000842583395333	8.1034124627511	1.386298075638195	30.81297578428813	0.6145445077571381	0.05716693095415238	0.0	11.333344061660709	1.8579252560099522	5.873902155539157
SRR24887272	0.0	0.0	62.904572123100415	0.0	0.014783683225170485	0.0	0.0	0.4139431303047736	0.014783683225170485	0.5913473290068194	0.0	0.1034857825761934	2.8828182289082447	1.5375030554177305	0.0	0.0	0.044351049675511456	0.0	0.08870209935102291	0.0	0.0	6.682224817777059	0.2956736645034097	0.0	0.17740419870204582	0.0	0.0	0.0	0.02956736645034097	9.431989897658768	0.2808899812782392	46.24336112833328	0.5617799625564784	0.2069715651523868	0.13305314902653437	0.487861546430626	0.08870209935102291	0.044351049675511456	0.14783683225170485	0.014783683225170485	0.16262051547687534	0.975723092861252	0.34002471417892116	10.466847723420702	0.3104573477285802	0.7391841612585243	14.694981125819462	0.5469962793313079	11.649542381434342	2.2914708999014253	2.1584177508748907	0.0	0.0	0.11826946580136388	0.014783683225170485	0.05913473290068194	7.850135792565528	0.6652657451326718	0.2069715651523868	0.4139431303047736	21.776365390676123	3.0010876947096086	24.289591538955108	0.8278862606095472	0.044351049675511456	0.0	22.397280086133286	3.7402718559681327	14.118417480037813
SRR24887387	0.0	0.0	23.41876648148835	0.0	0.0	0.017714649380853518	0.12400254566597463	0.6554420270915802	0.017714649380853518	0.3720076369979239	0.017714649380853518	0.26571974071280274	1.8246088862279124	1.0097350147086506	0.0	0.0	0.0	0.0	0.017714649380853518	0.035429298761707036	0.0	5.013245774781546	0.08857324690426759	0.0	0.4074369357596309	0.0	0.0	0.017714649380853518	0.05314394814256056	6.430417725249827	0.3011490394745098	38.0333522206925	0.5668687801873126	0.15943184442768166	0.47829553328304497	0.26571974071280274	0.05314394814256056	0.05314394814256056	0.0	0.0	0.07085859752341407	0.44286623452133794	2.426906965176932	11.018511914890889	2.0548993281790082	4.304659799547405	9.92020365327797	0.8680178196618223	10.805936122320645	1.0451643134703577	0.8325885209001154	0.0	0.035429298761707036	0.3011490394745098	0.035429298761707036	0.017714649380853518	6.518990972154095	0.7617299233767013	0.21257579257024223	1.5943184442768166	13.374560282544406	3.011490394745098	19.57468756584314	0.7971592221384083	0.035429298761707036	0.05314394814256056	19.27353852636863	2.9937757453642444	10.150494095229066
SRR24887388	0.0	0.0	47.97015858351235	0.0	0.0	0.18540820253641455	0.1348423291173924	3.1519394431190473	0.0	2.5620042532304557	1.5338314937103386	0.3033952405141329	1.7360949873864273	1.4158444557326202	0.0	0.0	0.0	0.01685529113967405	0.0674211645586962	0.0	0.0	4.567783898851668	0.1348423291173924	0.0	0.11798703797771835	0.0	0.01685529113967405	0.01685529113967405	0.0	10.062608810385408	0.6910669367266361	46.908275241712886	0.6910669367266361	0.4382375696315253	0.6236457721679399	0.6405010633076139	0.5562246076092436	0.21911878481576266	0.08427645569837025	0.0337105822793481	0.15169762025706646	0.9607515949614209	0.8933304304027246	11.882980253470206	3.691308759588617	4.264388658337535	14.242721013024573	2.629425417789152	14.158444557326202	2.646280708928826	1.045028050659791	0.0	0.0674211645586962	5.461114329254393	0.0	0.0674211645586962	7.163498734361472	1.2304362531962056	0.2528293670951108	2.4440172152527375	28.030349165277947	3.4721899747728546	21.13653508915126	1.33156800003425	0.050565873419022155	0.0	31.839644962844282	5.764509569768525	17.546358076400686
SRR24887400	0.0	0.022294622771081154	54.46576342975126	0.0	0.04458924554216231	0.1003258024698652	0.12262042524094635	1.4380031687347345	0.03344193415662173	1.237351563795004	0.011147311385540577	0.4681870781927043	6.510029849155697	5.1834997942763685	0.0	0.022294622771081154	0.0	0.04458924554216231	0.16720967078310867	0.011147311385540577	0.022294622771081154	13.622014513130585	0.22294622771081155	0.0	1.2707934979516258	0.011147311385540577	0.055736556927702886	0.0	0.31212471879513615	30.777726735477533	1.1927623182528417	99.77958421197371	1.9396321810840604	0.15606235939756807	0.1449150480120275	1.1481730727106794	0.1003258024698652	1.081289204397436	0.22294622771081155	0.0	0.18950429355418982	0.8917849108432462	0.16720967078310867	20.49990563800912	0.6242494375902723	1.6275074622889243	35.34812440354917	1.2819408093371665	28.33646554204415	2.106841851867169	4.971700877951098	0.0	0.055736556927702886	0.31212471879513615	0.011147311385540577	0.22294622771081155	25.438164581803598	3.4668138409031197	0.4458924554216231	0.9809634019275708	26.898462373309414	4.492366488372853	59.67155784679871	1.9061902469274388	0.1003258024698652	0.06688386831324346	42.91714883433122	11.437141481564632	25.07030330608076
SRR24887404	0.011185169485349884	0.0	103.70889146816411	0.0	0.011185169485349884	0.044740677941399534	0.022370338970699767	2.203478388613927	0.0	2.930514405161669	0.055925847426749414	0.41385127095794566	2.9864402525884186	2.2370338970699764	0.0	0.022370338970699767	0.0	0.0	0.14540720330954848	0.011185169485349884	0.0	12.29250126439952	0.190147881250948	0.0	0.6822953386063428	0.0	0.0	0.0	0.044740677941399534	9.350801689752503	0.23488855919234755	46.82111946567461	0.8724432198572909	0.055925847426749414	0.03355550845604965	0.4585919488993452	0.2684440676483972	0.4250364404432955	0.022370338970699767	0.0	0.3131847455897967	0.24607372867769742	0.011185169485349884	13.232055501168912	0.08948135588279907	0.41385127095794566	15.592126262577736	0.8388877114012412	12.270130925428822	1.6777754228024824	5.984065674662188	0.0	0.0	0.11185169485349883	0.0	0.044740677941399534	11.554280078366428	0.27962923713374704	0.044740677941399534	0.11185169485349883	16.06190338096243	1.9685898294215793	26.452925832852472	0.5368881352967944	0.11185169485349883	0.0	14.3729427886746	2.214663558099277	7.66184109746467
SRR24888350	0.0	0.0	68.36233958057737	0.0	0.0	0.061476924083253025	0.061476924083253025	0.2459076963330121	0.0	1.1680615575818076	0.0	0.0	1.1680615575818076	0.6762461649157833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2295384816650605	0.0	0.0	0.1844307722497591	1.5369231020813257	0.061476924083253025	0.0	0.0	2.02873849474735	0.0	13.893784842815185	0.061476924083253025	0.061476924083253025	0.1844307722497591	0.0	0.061476924083253025	0.061476924083253025	0.0	0.0	0.30738462041626513	0.3688615444995182	0.2459076963330121	8.422338599405665	0.7377230889990364	1.2910154057483136	5.041107774826748	1.9672615706640968	5.041107774826748	0.2459076963330121	0.5532923167492773	0.0	0.0	0.4918153926660242	0.0	0.0	1.2910154057483136	0.1844307722497591	0.0	0.7377230889990364	7.069846269574098	1.5984000261645788	6.270646256491809	0.1844307722497591	0.0	0.0	10.389600170069762	0.4918153926660242	3.3812308245789167
SRR24888359	0.0	0.0	126.63409914578935	0.0	0.0	0.0	0.22334056286735335	2.34507591010721	0.0	1.1167028143367668	0.22334056286735335	0.22334056286735335	2.791757035841917	2.2334056286735335	0.0	0.0	0.0	0.0	0.0	0.11167028143367667	0.0	5.248503227382804	0.0	0.0	0.7816919700357368	0.0	0.0	0.0	0.0	54.71843790250157	0.11167028143367667	213.29023753832246	4.02013013161236	7.705249418923691	4.8018221016480975	1.34004337720412	0.22334056286735335	0.4466811257347067	0.0	0.0	0.67002168860206	0.0	0.0	16.19219080788312	0.5583514071683834	0.4466811257347067	18.313926155122974	0.67002168860206	32.38438161576624	1.8983947843725035	5.136832945949127	0.0	0.0	1.00503253290309	0.0	0.0	10.050325329030901	1.5633839400714735	0.8933622514694134	3.5734490058776536	16.19219080788312	1.4517136586377968	29.034273172755935	3.3501084430103005	5.36017350881648	0.0	17.19722334078621	2.121735347239857	8.710281951826781
SRR24888472	0.0	0.08967955968771067	37.21701727039993	0.0	0.08967955968771067	0.3587182387508427	0.269038679063132	4.663337103760955	0.0	2.8697459100067415	0.0	0.269038679063132	1.9729503131296346	1.076154716252528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.649812260325772	0.17935911937542134	0.0	0.269038679063132	0.0	0.0	0.0	0.0	7.443403454079985	0.4483977984385533	32.28464148757584	1.1658342759402387	0.0	0.08967955968771067	0.269038679063132	0.08967955968771067	1.076154716252528	0.538077358126264	0.0	0.17935911937542134	0.4483977984385533	0.0	4.663337103760955	0.0	1.1658342759402387	11.209944960963833	1.7039116340665026	10.76154716252528	0.538077358126264	3.049105029382163	0.0	0.0	0.0	0.0	0.0	4.573657544073244	0.17935911937542134	0.08967955968771067	0.0	11.748022319090097	0.7174364775016854	16.321679863163343	0.538077358126264	0.08967955968771067	0.17935911937542134	9.506033326897331	1.6142320743787921	6.367248737827458
