feature	pre	drought	log2FC	p	cliffs_delta	q_BH
PL	139.467	98.521	-0.5014	0.0011	-0.587	0.0038
CBM	1650.3029	1320.8981	-0.3212	0.0016	-0.5652	0.0038
CE	466.9045	343.6239	-0.4423	0.0019	-0.5565	0.0038
AA	375.4563	318.7619	-0.2362	0.0472	-0.3565	0.0708
GH	4545.8586	4270.817	-0.09	0.1281	-0.2739	0.1537
GT	5483.223	6509.7563	0.2476	0.2281	0.2174	0.2281
