	Acaulospora	Ambispora	Cetraspora	Dentiscutata	Diversispora	Entrophospora	Funneliformis	Geosiphon	Gigaspora	Glomus	Oehlia	Pacispora	Paraglomus	Racocetra	Rhizophagus	Scutellospora
SRR24887495	0.08288140796070807	0.09707456025983371	0.014490218277479427	0.02099266247033466	0.053867964074821015	0.11684595148582502	0.070107570891495	0.05568336727587197	0.04614424863762241	0.05647554321814875	0.5459742608833422	0.0	0.14678360063770166	0.03970781910662358	4.951000617237088	0.00584229757429125
SRR24887496	0.32488885595973904	0.0977538802089028	0.01707021013330757	0.021313283397800847	0.05150438162592609	0.10826364629480155	0.07138154791882152	0.057966908598000466	0.04602102540719631	0.054180781685068	0.5385439143395313	9.791707533446025e-05	0.14504782759544713	0.04262656679560169	4.828225706692011	0.0067562781980777566
SRR24887501	0.06994934259129473	0.10367129090733034	0.017267262691945943	0.02237972674387503	0.05349465696720507	0.12039683555403877	0.07374136890795736	0.05715125377255833	0.04709561255783687	0.061281853867494414	0.5827531871642618	0.0	0.15960367907810424	0.044082305931203165	4.722460916735905	0.008058055922908106
SRR24887502	0.06134427435644323	0.10194926608499612	0.014947813688120662	0.021127537528880504	0.0525114753589174	0.11081441965760448	0.07451258641502573	0.05694405214522158	0.04238449335809105	0.06140898350660826	0.5588605754002343	0.0	0.14135713853549603	0.041510919830863226	4.69891964838342	0.007020942792905159
SRR24887504	0.4024453982990009	0.10024327878737638	0.016387151576991287	0.018883631700048555	0.050633737880469175	0.11019719312418165	0.07134172043967497	0.058891325979812434	0.0449366422150308	0.0538663595782741	0.5651326863182327	0.0	0.14249140394680704	0.04359238368723072	4.427763547485452	0.006913329571543199
SRR24887505	0.08706064519596203	0.1139983911246509	0.008296288334646072	0.014510107532660337	0.04144785346134921	0.09743940266723991	0.06220536840390497	0.05182661093262709	0.026937745928688868	0.043530322597981015	0.5700591320470169	0.0	0.15961118285926373	0.05804043013064135	4.883927536791688	0.008296288334646072
SRR24887506	0.06822159541917877	0.10763233877391577	0.016994579806407752	0.02192961116123373	0.051609306774060365	0.12566953083838536	0.0781611656127015	0.05981118987081339	0.04910703735471198	0.06356459399983595	0.5942194796113697	0.0	0.16139637754797057	0.048377208774068696	4.958038331987205	0.007854345677399085
SRR24887507	0.06456518585919072	0.11448778687838353	0.019087040003197255	0.021429853577596917	0.05147299235519259	0.12361786919038222	0.0730751116367895	0.05684768231999182	0.0493024444847929	0.060224090118391325	0.6011384006783136	0.0	0.1590012447919771	0.04468572361759357	4.575377098239342	0.007614144116798904
SRR24887508	0.06217324088144552	0.09457790831086492	0.012666110086499243	0.020960161869029208	0.050696587833526166	0.11846349154505002	0.07898637685920976	0.05606521825090021	0.04995719562035488	0.05802621499018055	0.5370237791750504	0.0	0.15282915571374978	0.04169529132535411	4.676109241020322	0.00877626409546775
SRR24887527	0.06394114861786293	0.10280358325686345	0.017803972519345068	0.020101259296034756	0.053411917558035205	0.1113226883870877	0.07632097180335735	0.06365398777077672	0.04680721807505236	0.060590938735190475	0.5569325095433121	0.0	0.14523957510404795	0.04240408508639713	4.661992538923057	0.009284867389120816
