function	phylum	pre_HPM	drought_HPM	delta	log2FC	cliffs_delta	p	mixed_p	q_BH	mixed_q_BH
CAZy:degradation	Candidatus Stahliibacteriota	0.1942	0.2369	0.0427	0.2856	0.3717	0.0385	0.607	0.0841	0.7125
CAZy:degradation	Candidatus Uhriibacteriota	0.3545	0.2328	-0.1217	-0.6044	-0.363	0.0433	0.0742	0.0902	0.1532
CAZy:degradation	Candidatus Fermentibacterota	0.2892	0.2315	-0.0577	-0.3198	-0.2717	0.1311	0.1502	0.2104	0.2538
CAZy:degradation	Chrysiogenota	0.35	0.2234	-0.1266	-0.6453	-0.463	0.0098	0.0195	0.032	0.0682
CAZy:degradation	Candidatus Woeseibacteriota	0.3062	0.2123	-0.0939	-0.5262	-0.4261	0.0176	0.0712	0.0481	0.1495
CAZy:degradation	Tubulinea	0.3788	0.2088	-0.17	-0.8565	-0.4261	0.0176	0.0039	0.0481	0.0224
CAZy:degradation	Candidatus Moraniibacteriota	0.4047	0.2005	-0.2043	-1.0099	-0.4652	0.0095	0.0029	0.0311	0.0185
CAZy:degradation	Candidatus Kapaibacteriota	0.5738	0.1995	-0.3744	-1.5198	-0.4152	0.0205	0.0	0.0535	0.0
CAZy:degradation	Fornicata	0.261	0.1977	-0.0634	-0.3993	-0.3261	0.0696	0.3113	0.1284	0.4298
CAZy:degradation	Candidatus Kryptoniota	0.3559	0.1922	-0.1636	-0.8849	-0.5348	0.0029	0.0084	0.0152	0.0381
CAZy:degradation	Candidatus Coatesiibacteriota	0.5136	0.1913	-0.3223	-1.4201	-0.6739	0.0002	0.0	0.0022	0.0001
CAZy:degradation	Candidatus Fervidibacterota	0.633	0.1881	-0.445	-1.7457	-0.4652	0.0095	0.0895	0.0311	0.1759
CAZy:degradation	Candidatus Aerophobota	0.3075	0.1799	-0.1276	-0.77	-0.5152	0.0041	0.0104	0.0183	0.044
CAZy:degradation	Candidatus Fischeribacteriota	0.2536	0.1788	-0.0748	-0.5015	-0.2348	0.1925	0.1576	0.2752	0.262
CAZy:degradation	Parabasalia	0.2355	0.1771	-0.0585	-0.4096	-0.2543	0.1577	0.194	0.2426	0.3005
CAZy:degradation	candidate division WWE3	0.3034	0.1749	-0.1285	-0.7908	-0.4457	0.0129	0.005	0.0391	0.0269
CAZy:degradation	Candidatus Falkowiibacteriota	0.2962	0.174	-0.1221	-0.7637	-0.5413	0.0025	0.0018	0.0141	0.0127
CAZy:degradation	Aphelidiomycota	0.3486	0.1601	-0.1885	-1.1178	-0.6652	0.0002	0.0	0.0025	0.0002
CAZy:degradation	Basidiobolomycota	0.2276	0.1565	-0.0711	-0.5376	-0.3217	0.0735	0.1002	0.1344	0.1883
CAZy:degradation	Candidatus Glassiibacteriota	0.2584	0.1519	-0.1065	-0.7625	-0.3957	0.0275	0.0419	0.0686	0.1111
CAZy:degradation	Candidatus Kaiseribacteriota	0.2234	0.1511	-0.0723	-0.5612	-0.2174	0.2275	0.1575	0.3151	0.262
CAZy:degradation	Rozellomycota	0.2635	0.1507	-0.1128	-0.8017	-0.3783	0.0351	0.0176	0.0791	0.0639
CAZy:degradation	Candidatus Auribacterota	0.1875	0.1478	-0.0396	-0.3404	-0.2109	0.2423	0.565	0.3325	0.6783
CAZy:degradation	Vulcanimicrobiota	0.1932	0.1423	-0.0509	-0.4382	-0.5043	0.0049	0.3293	0.0199	0.4467
CAZy:degradation	Candidatus Blackallbacteria	0.1918	0.1279	-0.0639	-0.5809	-0.0891	0.6261	0.2239	0.7088	0.3351
CAZy:degradation	Candidatus Roizmaniibacteriota	0.2418	0.1211	-0.1208	-0.992	-0.4696	0.0088	0.0009	0.0295	0.0073
CAZy:degradation	Pisuviricota	0.0856	0.1131	0.0275	0.3982	0.0957	0.5966	0.2596	0.6851	0.3768
CAZy:degradation	Candidatus Margulisiibacteriota	0.2152	0.1122	-0.1031	-0.9339	-0.5391	0.0026	0.0014	0.0142	0.0105
CAZy:degradation	Preaxostyla	0.3095	0.1026	-0.2068	-1.5831	-0.7	0.0001	0.0	0.0018	0.0
CAZy:degradation	Microcaldota	0.0983	0.1026	0.0043	0.0608	0.0565	0.7598	0.8711	0.8197	0.9071
CAZy:degradation	Candidatus Firestoneibacteriota	0.1624	0.099	-0.0634	-0.708	-0.3783	0.035	0.7378	0.0791	0.8065
CAZy:degradation	Candidatus Lindowiibacteriota	0.1673	0.0949	-0.0724	-0.8112	-0.3739	0.0368	0.0375	0.082	0.1033
CAZy:degradation	Candidatus Doudnaibacteriota	0.1922	0.0897	-0.1025	-1.0914	-0.537	0.0027	0.0045	0.0146	0.0254
CAZy:degradation	Candidatus Nomuraibacteriota	0.1086	0.0883	-0.0203	-0.2955	-0.0913	0.6169	0.3423	0.7001	0.4599
CAZy:degradation	Nucleocytoviricota	0.2139	0.0877	-0.1262	-1.2772	-0.5435	0.0024	0.0005	0.0137	0.0039
CAZy:degradation	Candidatus Levyibacteriota	0.1471	0.0862	-0.0609	-0.7644	-0.3609	0.0444	0.0236	0.0916	0.0779
CAZy:degradation	Candidatus Raymondiibacteriota	0.3142	0.0852	-0.229	-1.871	-0.7652	0.0	0.0	0.0008	0.0
CAZy:degradation	Candidatus Gottesmaniibacteriota	0.1707	0.0818	-0.0889	-1.0527	-0.4522	0.0116	0.006	0.0363	0.0299
CAZy:degradation	Candidatus Heimdallarchaeota	0.1237	0.0781	-0.0456	-0.6575	-0.213	0.2347	0.1785	0.3241	0.2845
CAZy:degradation	Candidatus Thorarchaeota	0.0723	0.0773	0.005	0.0954	0.0391	0.835	0.8296	0.8825	0.8742
CAZy:degradation	Candidatus Microgenomatota	0.0934	0.0771	-0.0163	-0.2735	-0.0043	0.9902	0.5586	0.9925	0.6733
CAZy:degradation	Candidatus Wolfeibacteriota	0.07	0.0752	0.0052	0.1011	-0.0217	0.9126	0.8131	0.94	0.8593
CAZy:degradation	Candidatus Hydrothermota	0.1554	0.072	-0.0833	-1.0981	-0.6478	0.0003	0.0002	0.0032	0.0025
CAZy:degradation	Candidatus Daviesiibacteriota	0.1091	0.0713	-0.0378	-0.6068	-0.2652	0.1364	0.0947	0.2157	0.1797
CAZy:degradation	Candidatus Azamiibacteriota	0.1093	0.071	-0.0383	-0.615	-0.3043	0.0896	0.1592	0.1573	0.262
CAZy:degradation	Candidatus Staskawicziibacteriota	0.0658	0.0704	0.0046	0.0968	0.0043	0.9902	0.8725	0.9925	0.9071
CAZy:degradation	Candidatus Portnoyibacteriota	0.0561	0.0692	0.0131	0.2973	-0.0217	0.9109	0.7044	0.94	0.7922
CAZy:degradation	Candidatus Sungiibacteriota	0.1095	0.068	-0.0415	-0.6786	-0.2739	0.1268	0.0568	0.2066	0.1306
CAZy:degradation	Candidatus Shapironibacteriota	0.1031	0.0675	-0.0356	-0.6031	-0.1696	0.3475	0.3591	0.4416	0.4766
CAZy:degradation	Candidatus Delongiibacteriota	0.0391	0.0653	0.0262	0.725	0.0783	0.6657	0.1163	0.7414	0.2083
CAZy:degradation	Candidatus Berkelbacteria	0.1318	0.065	-0.0668	-1.0079	-0.387	0.0309	0.0022	0.0734	0.0152
CAZy:degradation	Caldisericota	0.1037	0.0631	-0.0406	-0.7068	-0.3543	0.0479	0.0434	0.0966	0.113
CAZy:degradation	Candidatus Curtissiibacteriota	0.0921	0.0594	-0.0327	-0.6238	-0.287	0.1096	0.0167	0.188	0.0615
CAZy:degradation	Candidatus Spechtiibacteriota	0.0429	0.0593	0.0164	0.4591	-0.0522	0.7658	0.5839	0.823	0.6964
CAZy:degradation	candidate division LCP-89	0.0745	0.0587	-0.0158	-0.3389	-0.0804	0.6592	0.3713	0.7387	0.4899
CAZy:degradation	Candidatus Desantisiibacteriota	0.1188	0.0576	-0.0612	-1.0313	-0.5022	0.0048	0.0182	0.0199	0.0654
CAZy:degradation	Candidatus Rifleibacteriota	0.0678	0.0576	-0.0103	-0.233	-0.1913	0.2843	0.6791	0.3784	0.7766
CAZy:degradation	Candidatus Niyogiibacteriota	0.0948	0.057	-0.0378	-0.7235	-0.3674	0.0402	0.0239	0.0862	0.0779
CAZy:degradation	Dictyoglomota	0.0643	0.0563	-0.0079	-0.1869	-0.2674	0.1332	0.7301	0.2129	0.8038
CAZy:degradation	Candidatus Kerfeldiibacteriota	0.0714	0.0535	-0.0178	-0.4085	-0.0783	0.6666	0.2411	0.7414	0.3548
CAZy:degradation	Candidatus Woykeibacteriota	0.0886	0.0527	-0.0359	-0.7392	-0.2065	0.2509	0.0711	0.3412	0.1495
CAZy:degradation	Negarnaviricota	0.0312	0.0519	0.0207	0.7159	0.113	0.4181	0.4912	0.5123	0.6044
CAZy:degradation	Candidatus Ryaniibacteriota	0.0601	0.0473	-0.0128	-0.3382	-0.1	0.5717	0.5099	0.6606	0.618
CAZy:degradation	Candidatus Beckwithiibacteriota	0.0595	0.0451	-0.0144	-0.3932	-0.2652	0.1283	0.4992	0.2066	0.6083
CAZy:degradation	Candidatus Buchananiibacteriota	0.0577	0.0448	-0.0129	-0.3579	-0.1283	0.4724	0.5658	0.5696	0.6783
CAZy:degradation	Candidatus Cryosericota	0.0905	0.0437	-0.0469	-1.0354	-0.2978	0.0891	0.0585	0.1573	0.1318
CAZy:degradation	Candidatus Vogeliibacteriota	0.0596	0.0429	-0.0167	-0.4656	-0.0435	0.8073	0.4342	0.8593	0.547
CAZy:degradation	Minisyncoccota	0.051	0.0423	-0.0087	-0.2637	-0.0696	0.6984	0.6034	0.7653	0.71
CAZy:degradation	Candidatus Amesiibacteriota	0.0564	0.0416	-0.0148	-0.4294	-0.2217	0.215	0.2765	0.3015	0.3914
CAZy:degradation	Candidatus Altarchaeota	0.0877	0.0407	-0.047	-1.0897	-0.3261	0.0667	0.0234	0.1244	0.0778
CAZy:degradation	Candidatus Yonathiibacteriota	0.0627	0.0406	-0.0221	-0.6143	-0.2435	0.173	0.1139	0.2554	0.2048
CAZy:degradation	Kitrinoviricota	0.0531	0.0348	-0.0183	-0.5972	-0.2174	0.2216	0.1835	0.3079	0.2892
CAZy:degradation	Candidatus Tayloriibacteriota	0.0622	0.0347	-0.0275	-0.8248	-0.2304	0.1915	0.1395	0.2746	0.2374
CAZy:degradation	Candidatus Aenigmatarchaeota	0.0738	0.0292	-0.0446	-1.3072	-0.387	0.0277	0.0064	0.0686	0.0316
CAZy:degradation	Thermosulfidibacterota	0.0914	0.0288	-0.0626	-1.6321	-0.4609	0.0087	0.0008	0.0295	0.0067
CAZy:degradation	Candidatus Komeiliibacteriota	0.0551	0.028	-0.0271	-0.9514	-0.1609	0.3589	0.1354	0.4535	0.2322
CAZy:degradation	Candidatus Edwardsiibacteriota	0.0825	0.0252	-0.0572	-1.6702	-0.5478	0.0015	0.0003	0.0106	0.0025
CAZy:degradation	Candidatus Colwelliibacteriota	0.0645	0.0223	-0.0422	-1.491	-0.3543	0.0341	0.1228	0.0791	0.2173
CAZy:degradation	Candidatus Iainarchaeota	0.0791	0.0208	-0.0583	-1.8778	-0.3783	0.0297	0.005	0.0708	0.0269
CAZy:degradation	Candidatus Fraseribacteriota	0.0594	0.0199	-0.0394	-1.5271	-0.4087	0.0164	0.0322	0.0468	0.0958
CAZy:degradation	Olpidiomycota	0.0614	0.0196	-0.0418	-1.5972	-0.3587	0.0353	0.0095	0.0791	0.0415
CAZy:degradation	candidate division CPR2	0.0516	0.0194	-0.0322	-1.3643	-0.2283	0.1737	0.0682	0.2557	0.1457
CAZy:degradation	Candidatus Goldiibacteriota	0.0525	0.0184	-0.0341	-1.4648	-0.2739	0.102	0.0482	0.1771	0.1183
CAZy:degradation	Candidatus Wildermuthiibacteriota	0.0562	0.018	-0.0382	-1.5881	-0.4848	0.0037	0.009	0.0181	0.0403
CAZy:degradation	candidate division CPR3	0.0543	0.0137	-0.0406	-1.9128	-0.3826	0.0206	0.0355	0.0535	0.1003
Osm:Mannitol	Ascomycota	0.0968	0.8357	0.7388	3.0963	0.6384	0.0004	0.0138	0.004	0.0524
Osm:Mannitol	Actinomycetota	0.0041	0.1316	0.1275	4.7028	0.4325	0.0056	0.0714	0.0216	0.1495
Osm:Mannitol	Chloroflexota	0.0029	0.1002	0.0973	4.7134	0.6156	0.0001	0.0031	0.0021	0.0193
Osm:Mannitol	Bacillota	0.0021	0.0772	0.0751	4.6708	0.4233	0.0067	0.0554	0.0246	0.1301
Osm:Mannitol	Pseudomonadota	0.0862	0.0355	-0.0507	-1.2571	-0.4256	0.0162	0.0137	0.0466	0.0524
Osm:Other	Pseudomonadota	75.0533	43.4512	-31.6021	-0.7885	-0.5261	0.0033	0.0697	0.0168	0.148
Osm:Other	Actinomycetota	11.2275	31.14	19.9125	1.4717	0.7522	0.0	0.0002	0.0009	0.0017
Osm:Other	Acidobacteriota	8.8849	6.8894	-1.9955	-0.3669	-0.5478	0.0022	0.3385	0.0135	0.4561
Osm:Other	NA	9.2991	5.7495	-3.5497	-0.6936	-0.5522	0.0021	0.0131	0.0134	0.0514
Osm:Other	Bacillota	2.1504	5.5496	3.3992	1.3674	0.2826	0.1163	0.0106	0.1965	0.044
Osm:Other	Chloroflexota	5.0777	4.9508	-0.1269	-0.0365	-0.2478	0.1689	0.8504	0.2528	0.8903
Osm:Other	Planctomycetota	4.7487	3.5913	-1.1575	-0.4029	-0.4522	0.0117	0.144	0.0363	0.2442
Osm:Other	Ascomycota	0.8328	3.172	2.3392	1.928	0.3739	0.0374	0.0104	0.0821	0.044
Osm:Other	Candidatus Rokuibacteriota	4.1169	3.0959	-1.0211	-0.4111	-0.613	0.0006	0.2738	0.0058	0.3897
Osm:Other	Myxococcota	4.0939	2.4847	-1.6092	-0.7202	-0.6826	0.0001	0.0296	0.0021	0.0899
Osm:Other	Gemmatimonadota	1.7959	1.4392	-0.3567	-0.3192	-0.3348	0.0625	0.204	0.1171	0.3115
Osm:Other	Verrucomicrobiota	1.6256	1.3857	-0.2399	-0.2302	-0.3913	0.0293	0.5945	0.0703	0.707
Osm:Other	Candidatus Tectimicrobiota	1.56	1.0713	-0.4887	-0.5418	-0.3565	0.0472	0.0683	0.0957	0.1457
Osm:Other	Bacteroidota	2.5255	1.0131	-1.5124	-1.317	-0.6652	0.0002	0.0	0.0025	0.0001
Osm:Other	Thermodesulfobacteriota	0.7426	0.5387	-0.2039	-0.4625	-0.4717	0.0085	0.2788	0.0295	0.3935
Osm:Other	Nitrospirota	0.9785	0.5109	-0.4676	-0.9362	-0.6043	0.0007	0.0077	0.0065	0.0358
Osm:Other	Basidiomycota	0.6173	0.4977	-0.1196	-0.3102	-0.2261	0.2098	0.4083	0.2952	0.5218
Osm:Other	Chlorobiota	0.0501	0.4765	0.4264	3.223	-0.0174	0.9217	0.3652	0.9414	0.4834
Osm:Other	Cyanobacteriota	0.7503	0.4726	-0.2777	-0.6657	-0.5826	0.0012	0.0185	0.0089	0.066
Osm:Other	Nitrososphaerota	0.1998	0.4288	0.2289	1.0974	0.4239	0.0182	0.0051	0.0494	0.0269
Osm:Other	Candidatus Eiseniibacteriota	0.5183	0.3264	-0.1919	-0.6655	-0.4087	0.0228	0.0564	0.0587	0.1306
Osm:Other	Deinococcota	0.292	0.252	-0.04	-0.2118	-0.2457	0.1727	0.4962	0.2554	0.6063
Osm:Other	Foraminifera	0.4913	0.2382	-0.2531	-1.0414	-0.4174	0.02	0.0348	0.0526	0.0988
Osm:Other	Methanobacteriota	0.2097	0.2183	0.0086	0.0579	-0.1174	0.5186	0.8936	0.6089	0.9247
Osm:Other	Thermomicrobiota	0.1461	0.1207	-0.0254	-0.2731	-0.1174	0.5179	0.4955	0.6089	0.6063
Osm:Other	Glomeromycota	0.1407	0.0988	-0.0418	-0.5048	-0.1109	0.5414	0.4788	0.6321	0.5932
Osm:Other	Spirochaetota	0.115	0.0984	-0.0166	-0.2223	-0.2435	0.1757	0.6194	0.2557	0.7232
Osm:Other	Ignavibacteriota	0.1411	0.0925	-0.0485	-0.603	-0.4391	0.0141	0.1239	0.0422	0.2184
Osm:Other	Oomycota	0.1107	0.0914	-0.0193	-0.2738	-0.1826	0.3107	0.3746	0.4052	0.4899
Osm:Other	Armatimonadota	0.0588	0.0876	0.0288	0.5677	0.1565	0.3834	0.1937	0.479	0.3005
Osm:Other	Candidatus Zixiibacteriota	0.0331	0.0829	0.0498	1.2996	0.2391	0.1707	0.0447	0.2546	0.1134
Osm:Other	Calditrichota	0.0978	0.0814	-0.0164	-0.262	-0.1783	0.3219	0.4872	0.4173	0.6019
Osm:Other	Cercozoa	0.1553	0.0643	-0.0911	-1.2601	-0.4261	0.0157	0.0003	0.0455	0.003
Osm:Other	Fidelibacterota	0.0991	0.062	-0.0371	-0.6677	-0.2565	0.1517	0.1261	0.235	0.2215
Osm:Other	Candidatus Binatota	0.0834	0.0604	-0.023	-0.4589	-0.1304	0.4698	0.329	0.5694	0.4467
Osm:Other	Candidatus Methylomirabilota	0.0505	0.0604	0.0099	0.254	-0.0522	0.7725	0.7616	0.8282	0.8205
Osm:Other	Evosea	0.107	0.0575	-0.0495	-0.8837	-0.3413	0.056	0.0309	0.1076	0.0932
Osm:Other	Chlorophyta	0.1132	0.0555	-0.0576	-1.0138	-0.5043	0.0047	0.0142	0.0197	0.0536
Osm:Other	Candidatus Sumerlaeota	0.0464	0.0514	0.005	0.1454	0.0109	0.9605	0.7837	0.9736	0.8362
Osm:Other	Mucoromycota	0.0921	0.0463	-0.0458	-0.977	-0.3891	0.0285	0.0485	0.0697	0.1183
Osm:Other	Euglenozoa	0.1442	0.0441	-0.1001	-1.6871	-0.5087	0.004	0.0008	0.0183	0.0064
Osm:Other	Candidatus Melainabacteria	0.0855	0.0426	-0.0429	-0.988	-0.3109	0.0759	0.042	0.1381	0.1111
Osm:Other	Nitrospinota	0.0809	0.0403	-0.0407	-0.9898	-0.4174	0.017	0.0344	0.0481	0.0988
Osm:Other	Chytridiomycota	0.0965	0.0382	-0.0584	-1.316	-0.487	0.0053	0.0106	0.021	0.044
Osm:Other	Elusimicrobiota	0.0614	0.0378	-0.0236	-0.6859	-0.2174	0.1953	0.3531	0.2774	0.4729
Osm:Other	Ciliophora	0.0663	0.0355	-0.0309	-0.8849	-0.2565	0.1414	0.4046	0.2221	0.5186
Osm:Other	Campylobacterota	0.0653	0.0331	-0.0323	-0.9615	-0.3261	0.0611	0.0677	0.1155	0.1457
Osm:Other	Bacillariophyta	0.0846	0.0268	-0.0578	-1.6223	-0.5457	0.0011	0.0135	0.0086	0.0524
Osm:Other	Tubulinea	0.0548	0.0268	-0.028	-1.0066	-0.2652	0.1171	0.0921	0.1971	0.1788
Osm:Other	Thermoproteota	0.0593	0.0253	-0.034	-1.198	-0.2826	0.0915	0.1138	0.1601	0.2048
Osm:Other	Mortierellomycota	0.0549	0.0156	-0.0393	-1.7513	-0.4	0.0188	0.0118	0.05	0.0482
Osm:Other	Discosea	0.0969	0.0087	-0.0882	-3.3393	-0.6174	0.0002	0.0	0.0028	0.0
Osm:Other	Neocallimastigomycota	0.0896	0.0049	-0.0847	-3.9496	-0.1348	0.274	0.2336	0.367	0.3461
Osm:Trehalose	Pseudomonadota	13.0762	17.2568	4.1806	0.4002	0.2696	0.1343	0.1108	0.2131	0.2017
Osm:Trehalose	Actinomycetota	2.7925	10.5868	7.7943	1.9223	0.887	0.0	0.0	0.0001	0.0
Osm:Trehalose	Planctomycetota	2.1447	4.544	2.3993	1.0828	0.6	0.0008	0.0	0.007	0.0001
Osm:Trehalose	Acidobacteriota	4.954	4.4524	-0.5016	-0.154	-0.1391	0.4431	0.7034	0.5399	0.7922
Osm:Trehalose	NA	2.7551	4.0944	1.3392	0.5713	0.2739	0.1281	0.0176	0.2066	0.0639
Osm:Trehalose	Candidatus Rokuibacteriota	1.6183	2.5122	0.8939	0.6342	0.3217	0.0735	0.0445	0.1344	0.1134
Osm:Trehalose	Chloroflexota	1.4749	2.4643	0.9893	0.7401	0.3739	0.0374	0.0375	0.0821	0.1033
Osm:Trehalose	Myxococcota	1.5355	1.9904	0.4548	0.3741	0.0826	0.6524	0.2744	0.7329	0.3897
Osm:Trehalose	Bacteroidota	1.3315	1.8559	0.5244	0.4788	0.2609	0.1474	0.0558	0.2291	0.1303
Osm:Trehalose	Thermodesulfobacteriota	1.0543	1.8474	0.7931	0.8086	0.4739	0.0082	0.0057	0.0287	0.0289
Osm:Trehalose	Nitrospirota	1.0644	1.516	0.4516	0.5099	0.2522	0.1615	0.0846	0.2441	0.1699
Osm:Trehalose	Verrucomicrobiota	0.7262	1.3848	0.6586	0.9303	0.587	0.0011	0.0011	0.0086	0.0082
Osm:Trehalose	Cyanobacteriota	0.5845	0.9585	0.374	0.7125	0.4217	0.0188	0.0066	0.05	0.0318
Osm:Trehalose	Gemmatimonadota	0.5945	0.7815	0.187	0.3939	0.2391	0.1845	0.1274	0.2654	0.2228
Osm:Trehalose	Bacillota	0.2159	0.5093	0.2934	1.2342	0.7391	0.0	0.0	0.0009	0.0001
Osm:Trehalose	Deinococcota	0.1683	0.2921	0.1238	0.7918	0.3522	0.05	0.034	0.1	0.0988
Osm:Trehalose	Elusimicrobiota	0.1447	0.2651	0.1204	0.869	0.287	0.1107	0.0241	0.1891	0.0779
Osm:Trehalose	Candidatus Omnitrophota	0.1881	0.2621	0.074	0.4767	0.2435	0.1762	0.0939	0.2557	0.1797
Osm:Trehalose	Candidatus Methylomirabilota	0.1332	0.2177	0.0845	0.7041	0.1891	0.2945	0.1371	0.3874	0.2343
Osm:Trehalose	Thermomicrobiota	0.0998	0.2106	0.1108	1.0695	0.4826	0.0071	0.0039	0.0257	0.0224
Osm:Trehalose	Candidatus Eiseniibacteriota	0.2369	0.1859	-0.051	-0.3482	-0.2848	0.113	0.4396	0.1924	0.5513
Osm:Trehalose	Spirochaetota	0.107	0.1776	0.0706	0.7256	0.2478	0.1686	0.0565	0.2528	0.1306
Osm:Trehalose	Ascomycota	0.065	0.1753	0.1103	1.418	0.4826	0.0067	0.0096	0.0246	0.0415
Osm:Trehalose	Methanobacteriota	0.059	0.1057	0.0468	0.8315	0.3652	0.0414	0.0616	0.0879	0.1368
Osm:Trehalose	Chlorobiota	0.0373	0.1018	0.0645	1.4256	0.1065	0.5079	0.4111	0.6025	0.5239
Osm:Trehalose	Candidatus Binatota	0.0527	0.1001	0.0474	0.9135	0.3457	0.0518	0.0798	0.1027	0.1626
Osm:Trehalose	Ignavibacteriota	0.0107	0.0714	0.0606	2.623	0.6913	0.0001	0.0	0.0014	0.0001
Osm:Trehalose	Synergistota	0.0487	0.0563	0.0076	0.2047	0.0913	0.6127	0.687	0.6972	0.7836
