feature	pre	drought	log2FC	p	cliffs_delta	q_BH
AA	348.384	346.4504	-0.008	0.8877	-0.017	0.9798
CE	400.928	398.9641	-0.0071	0.9107	-0.0136	0.9798
GH	4451.0367	4435.3874	-0.0051	0.9107	-0.0136	0.9798
GT	6144.2927	6126.7392	-0.0041	0.9337	-0.0102	0.9798
PL	117.239	116.6099	-0.0078	0.9337	-0.0102	0.9798
CBM	1451.1251	1449.7303	-0.0014	0.9798	-0.0034	0.9798
