	Amanita	Boletus	Cantharellus	Cenococcum	Clavulina	Cortinarius	Craterellus	Entoloma	Hebeloma	Hydnum	Hygrophorus	Hysterangium	Laccaria	Lactarius	Paxillus	Pisolithus	Ramaria	Russula	Scleroderma	Suillus	Thelephora	Tricholoma	Tuber
SRR24887495	0.04848776913352455	0.01399510831355644	0.03280928694262996	0.011453543832085106	0.027495106663189894	0.0	0.0	0.0	0.003729828394886504	0.020266501189914278	0.0	0.018880193290929916	0.021949875067252437	0.01802200268679674	0.007426649458844809	0.023831292930159786	0.016470658133171376	1.1582272422705084	0.006568458854711632	0.07826038163076018	0.01587652617646379	0.010694375220736525	0.2032921511867786
SRR24887496	0.046053664432307795	0.011260463663462927	0.031790410458588096	0.01015073680967238	0.025327883486513717	9.791707533446025e-05	0.0	0.0	0.0030354293353682675	0.018441049187990013	0.0	0.02056258582023665	0.02219453707581099	0.018832717489327855	0.009628512407888591	0.02539316153673669	0.01684173695752716	1.1089761562129854	0.00822503432809466	0.07748504561466953	0.015895205229294048	0.011619492939689282	0.1829417357498832
SRR24887501	0.049465629005751015	0.014084669176175511	0.03358651880472622	0.011511508461297294	0.024648171058307144	0.0	0.0	0.0	0.005078606674101747	0.019941995540306193	0.0	0.018723129938521772	0.02305687430042193	0.01828298402676629	0.009344636280347214	0.02414031039089697	0.015540536422751345	0.9799679438346731	0.00890449036859173	0.0768562476680731	0.015201962644477896	0.010360357615167565	0.18259283862287148
SRR24887502	0.05018194595297651	0.012941830033004904	0.03393994926155536	0.01048288232673397	0.027080779344062757	0.0	0.0	0.0	0.004626704236799253	0.021127537528880504	0.0	0.020577509752477793	0.0198009999504975	0.018377398646866962	0.008638671547030772	0.023748258110563993	0.017277343094061544	1.1194035887047589	0.0070856519430701845	0.07949519097773262	0.015368423164193321	0.011518228729374363	0.18154152078797625
SRR24887504	0.05258611336132165	0.012098326750200599	0.03130202000448726	0.008545643498157566	0.022980419594296374	3.200615542381111e-05	0.0	0.0	0.004064781738824011	0.019523754808524776	0.0	0.0198758225181867	0.020227890227848617	0.01891563785547237	0.008865705052395678	0.02451671505463931	0.018051471659029466	0.8752723323749623	0.008257588099343266	0.073198077454256	0.017219311618010373	0.008417618876462321	0.1631033680397414
SRR24887505	0.04144785346134921	0.008296288334646072	0.039398972536598555	0.01037875747127788	0.02280639586730641	0.0	0.0	0.0	0.004131350061382457	0.02280639586730641	0.0	0.018641457594042798	0.033151565126703135	0.016592576669292144	0.018641457594042798	0.02488886500393822	0.012427638396028529	0.9950171887674303	0.0062138191980142645	0.043530322597981015	0.014510107532660337	0.014510107532660337	0.1679074711939098
SRR24887506	0.0501496496127738	0.01348445187093294	0.030027233032180568	0.009279249096750245	0.027246933677349035	0.0	0.0	0.0	0.004587493935472032	0.02245091729026464	0.0	0.018697513161242067	0.025474492838643933	0.018037192064469583	0.011155951161261531	0.026517105096705757	0.017237855999955514	1.0836216735455906	0.007298285806432777	0.08048966632237292	0.015778198838668957	0.012650362064483483	0.19020722961241235
SRR24887507	0.048337756542393036	0.013815709460798012	0.03290274946399527	0.011369536463998364	0.028561653723195888	0.0	0.0	0.0	0.00423773631839939	0.020223993649597087	6.890628159999008e-05	0.01919039942559724	0.022394541519996775	0.02029289993119708	0.009888051409598577	0.022291182097596795	0.014677037980797888	0.8991925217390706	0.007820862961598873	0.07838089531998872	0.0166753201471976	0.012437583828798211	0.17223125085917523
SRR24887508	0.051435980046697444	0.012666110086499243	0.025364367660527676	0.007554659569358686	0.023403370921247335	0.0	0.0	0.0	0.004372058303969282	0.016588103565059922	0.0	0.01899916512974887	0.018291920404106772	0.016330923664826438	0.008294051782529961	0.027775429225216617	0.01899916512974887	0.9848061329690809	0.00659023494348311	0.07287835422866443	0.015109319138717372	0.013148322399437034	0.1906346010480724
SRR24887527	0.04728581948686271	0.011677874448172573	0.028620364426259006	0.00902961330282196	0.027280280473190026	0.0	0.0	0.0	0.005264615529913865	0.01898452266847727	0.0	0.01904833619005198	0.01955884436264969	0.018601641539028983	0.007210927937942626	0.027120746669253237	0.016687235891787583	0.9823134443603523	0.007115207655580556	0.08126651972539764	0.01573003306816688	0.012347916424707063	0.18639929651973816
