phylum	pre_mean	drought_mean	log2FC	MWU_p
Planctomycetota	7.68945579017154	9.870602489819472	0.36021519622672943	0.009135084720029931
Bacteroidota	8.747296045693966	5.793464346940595	-0.5943267410803144	0.03139328246783708
Pseudomonadota	23.64679361473733	20.530946390101807	-0.2038351848629125	0.04803166706209139
Patescibacteria	0.21141602956326142	0.1311377012116008	-0.6848504888276792	0.05212554758041014
Cyanobacteriota	0.4906765304164907	1.1431217375671023	1.218459170222035	0.07718354042628522
Desulfobacterota_G_459546	0.26839667100891285	0.17368184353333346	-0.6250023611969552	0.0832487855820891
Desulfobacterota_G_459543	0.10978914386685644	0.05750370806811635	-0.9212165466030648	0.09277559185062458
Verrucomicrobiota	3.861594233202472	4.4535033149169845	0.2056944476984683	0.12796325566680153
Unassigned	2.182245234196366	2.696358821801346	0.30507326093849363	0.12796325566680153
Bacillota_I	1.0089926352915772	1.0116473810036986	0.0037871204387798594	0.1464467003151893
Bacillota_A_368345	0.30287817103931286	0.25275509023180276	-0.26005628068173736	0.15642306474451056
Bdellovibrionota_473306	0.3446574803293072	0.246613641598533	-0.48125234906989467	0.18944367317382127
Desulfobacterota_B	2.339457696946396	2.6742466579906985	0.1928812252471638	0.28584646680556647
Acidobacteriota	10.36075752185471	12.008833115992065	0.21294737583010825	0.3537672485475659
Krumholzibacteriota	0.20947355801321502	0.3284045509115724	0.6462214892858328	0.37207842841740413
Elusimicrobiota	0.10018527349895874	0.068811155347479	-0.535469842709579	0.37207842841740413
UBA10199	0.3397747608764393	0.43315823904460354	0.3494024743693257	0.3912672792826394
Thermoproteota	2.37432201400481	2.893952616255715	0.28541662702769316	0.43108520748661294
Myxococcota_A_473307	5.308298887135304	5.021141457762271	-0.08021869499157455	0.4950126969585519
Tectomicrobia	0.13166785253366284	0.18808191694009	0.5111925703339243	0.5173636447867325
Nitrospirota_A_437815	0.8253620597732209	0.7094063414149799	-0.2181295582916867	0.5173956477449926
Dependentiae	0.14337642350908184	0.10512500169474652	-0.44407059433049306	0.5755298135765812
Chlamydiota	0.25248512819031216	0.122774414048254	-1.0341879881647449	0.6873777701764827
Eisenbacteria	0.8550266036807529	0.763590380279175	-0.16296858457628008	0.6873777701764827
Actinomycetota	15.182912102466798	15.48644138863105	0.028555276639284782	0.7133031738784577
Gemmatimonadota	2.1602047496617063	2.2676687119955057	0.07001019357042089	0.7133031738784577
Methylomirabilota	1.2192743405174138	1.2162598261831115	-0.003568382472251216	0.8748766577543728
Chloroflexota	8.746062021377005	8.955219816843734	0.03409141403744876	1.0
